Skill,Mouse
35.5,Dell
35.4,Dell
34.9,Dell
34.8,Dell
33.8,Dell
33.5,Dell
32.6,Dell
32.4,Dell
31.8,Dell
31.6,Dell
31.5,Dell
31.4,Dell
31.4,Dell
31.3,Dell
30.8,Dell
30.7,Dell
30.5,Dell
30.4,Dell
30.2,Dell
30.2,Dell
30.1,Dell
30,Dell
29.6,Dell
29.3,Dell
28.9,Dell
28.3,Dell
28,Dell
27.5,Dell
27.3,Dell
27.1,Dell
26.8,Dell
26.6,Dell
26.5,Dell
26.3,Dell
25.9,Dell
25.1,Dell
24.8,Dell
24.7,Dell
24.3,Dell
24.1,Dell
24,Dell
22.1,Dell
21.5,Dell
21.8,Dell
20,Dell
18,Dell
13.8,Dell
9.2,Dell
6.4,Dell
42.3,Basilisk (Wired)
40.1,Basilisk (Wired)
39.5,Basilisk (Wired)
38.6,Basilisk (Wired)
38.4,Basilisk (Wired)
38.3,Basilisk (Wired)
37.8,Basilisk (Wired)
37.6,Basilisk (Wired)
37.4,Basilisk (Wired)
37.3,Basilisk (Wired)
36.8,Basilisk (Wired)
36.5,Basilisk (Wired)
36.5,Basilisk (Wired)
36.5,Basilisk (Wired)
36.4,Basilisk (Wired)
35.9,Basilisk (Wired)
35.5,Basilisk (Wired)
35.5,Basilisk (Wired)
35.3,Basilisk (Wired)
35.3,Basilisk (Wired)
34.9,Basilisk (Wired)
34.6,Basilisk (Wired)
34.5,Basilisk (Wired)
34.4,Basilisk (Wired)
33.8,Basilisk (Wired)
33.5,Basilisk (Wired)
33.3,Basilisk (Wired)
33.3,Basilisk (Wired)
33.1,Basilisk (Wired)
33,Basilisk (Wired)
32.9,Basilisk (Wired)
32.5,Basilisk (Wired)
32.4,Basilisk (Wired)
32.3,Basilisk (Wired)
31.7,Basilisk (Wired)
31.7,Basilisk (Wired)
31.6,Basilisk (Wired)
31.6,Basilisk (Wired)
31.5,Basilisk (Wired)
33.1,Basilisk (Wired)
31.5,Basilisk (Wired)
31.4,Basilisk (Wired)
31.4,Basilisk (Wired)
31,Basilisk (Wired)
30.3,Basilisk (Wired)
30.1,Basilisk (Wired)
29.6,Basilisk (Wired)
29.3,Basilisk (Wired)
29.2,Basilisk (Wired)
28.8,Basilisk (Wired)
27.9,Basilisk (Wired)
24.5,Basilisk (Wired)
22.3,Basilisk (Wired)
21.9,Basilisk (Wired)
19.8,Basilisk (Wired)
19.3,Basilisk (Wired)
17.9,Basilisk (Wired)
49.7,Mamba (Wireless)
49.3,Mamba (Wireless)
48.6,Mamba (Wireless)
48.3,Mamba (Wireless)
48,Mamba (Wireless)
47.7,Mamba (Wireless)
47.5,Mamba (Wireless)
47.2,Mamba (Wireless)
47.1,Mamba (Wireless)
47,Mamba (Wireless)
47,Mamba (Wireless)
47,Mamba (Wireless)
46.9,Mamba (Wireless)
46.9,Mamba (Wireless)
46.3,Mamba (Wireless)
45.9,Mamba (Wireless)
45.9,Mamba (Wireless)
44.5,Mamba (Wireless)
44.1,Mamba (Wireless)
44,Mamba (Wireless)
43.6,Mamba (Wireless)
43.3,Mamba (Wireless)
42.1,Mamba (Wireless)
42,Mamba (Wireless)
42,Mamba (Wireless)
41.9,Mamba (Wireless)
41.9,Mamba (Wireless)
41.6,Mamba (Wireless)
40.5,Mamba (Wireless)
40.1,Mamba (Wireless)
39.2,Mamba (Wireless)
38.9,Mamba (Wireless)
37.4,Mamba (Wireless)
37.3,Mamba (Wireless)
36.7,Mamba (Wireless)
36.4,Mamba (Wireless)
36.2,Mamba (Wireless)
35.8,Mamba (Wireless)
35.7,Mamba (Wireless)
35.4,Mamba (Wireless)
35.3,Mamba (Wireless)
35,Mamba (Wireless)
35,Mamba (Wireless)
34.8,Mamba (Wireless)
34.7,Mamba (Wireless)
33.5,Mamba (Wireless)
32.8,Mamba (Wireless)
31.5,Mamba (Wireless)
30.8,Mamba (Wireless)
30.6,Mamba (Wireless)
29.9,Mamba (Wireless)
29.2,Mamba (Wireless)
28,Mamba (Wireless)
26.3,Mamba (Wireless)
24.7,Mamba (Wireless)
23.4,Mamba (Wireless)
51.9,Mamba (Wired)
51.7,Mamba (Wired)
51.4,Mamba (Wired)
51.3,Mamba (Wired)
50.9,Mamba (Wired)
50.5,Mamba (Wired)
50.5,Mamba (Wired)
50.2,Mamba (Wired)
50,Mamba (Wired)
49.4,Mamba (Wired)
49.2,Mamba (Wired)
49.2,Mamba (Wired)
49.1,Mamba (Wired)
49.1,Mamba (Wired)
49.1,Mamba (Wired)
49.1,Mamba (Wired)
48.7,Mamba (Wired)
48.3,Mamba (Wired)
48.1,Mamba (Wired)
48,Mamba (Wired)
47.8,Mamba (Wired)
47.7,Mamba (Wired)
47.6,Mamba (Wired)
47.5,Mamba (Wired)
47.3,Mamba (Wired)
47.2,Mamba (Wired)
46.9,Mamba (Wired)
46.7,Mamba (Wired)
46.5,Mamba (Wired)
46.3,Mamba (Wired)
45.6,Mamba (Wired)
45.2,Mamba (Wired)
45.1,Mamba (Wired)
44.4,Mamba (Wired)
43.9,Mamba (Wired)
43.6,Mamba (Wired)
42.9,Mamba (Wired)
42.7,Mamba (Wired)
42.6,Mamba (Wired)
42.5,Mamba (Wired)
42.4,Mamba (Wired)
42,Mamba (Wired)
41.5,Mamba (Wired)
41.3,Mamba (Wired)
40.9,Mamba (Wired)
40.7,Mamba (Wired)
40.4,Mamba (Wired)
39.9,Mamba (Wired)
39.4,Mamba (Wired)
38.9,Mamba (Wired)
38.2,Mamba (Wired)
37.7,Mamba (Wired)
37.6,Mamba (Wired)
37.2,Mamba (Wired)
35.4,Mamba (Wired)
35.4,Mamba (Wired)
35.2,Mamba (Wired)
34.3,Mamba (Wired)
32.7,Mamba (Wired)
32.5,Mamba (Wired)
31.8,Mamba (Wired)
31.1,Mamba (Wired)
30.9,Mamba (Wired)
29.8,Mamba (Wired)
26.8,Mamba (Wired)
25.7,Mamba (Wired)
25.1,Mamba (Wired)
23.5,Mamba (Wired)
18.6,Mamba (Wired)
42.4,Mamba (Wired)
48.1,Mamba (Wired)
50.7,Viper (Wired)
50.6,Viper (Wired)
50.5,Viper (Wired)
50.3,Viper (Wired)
50.1,Viper (Wired)
50.1,Viper (Wired)
50,Viper (Wired)
50,Viper (Wired)
49.8,Viper (Wired)
49.7,Viper (Wired)
49.6,Viper (Wired)
49,Viper (Wired)
48.9,Viper (Wired)
48.5,Viper (Wired)
48.3,Viper (Wired)
48.3,Viper (Wired)
48.1,Viper (Wired)
47.7,Viper (Wired)
47,Viper (Wired)
46.8,Viper (Wired)
46.8,Viper (Wired)
46.8,Viper (Wired)
46.2,Viper (Wired)
46.2,Viper (Wired)
45.1,Viper (Wired)
45,Viper (Wired)
45,Viper (Wired)
44.3,Viper (Wired)
43.6,Viper (Wired)
43.1,Viper (Wired)
42.3,Viper (Wired)
42.9,Viper (Wired)
42.7,Viper (Wired)
42.4,Viper (Wired)
42,Viper (Wired)
41.8,Viper (Wired)
41.6,Viper (Wired)
40.6,Viper (Wired)
40.4,Viper (Wired)
39.9,Viper (Wired)
39.5,Viper (Wired)
39.2,Viper (Wired)
39,Viper (Wired)
38.5,Viper (Wired)
38.2,Viper (Wired)
38,Viper (Wired)
36.2,Viper (Wired)
36.3,Viper (Wired)
35.8,Viper (Wired)
34,Viper (Wired)
33.4,Viper (Wired)
32.2,Viper (Wired)
30.6,Viper (Wired)
27.5,Viper (Wired)
26.3,Viper (Wired)
24.2,Viper (Wired)
54.6,"Viper (Wired, light)"
54,"Viper (Wired, light)"
53.8,"Viper (Wired, light)"
53.3,"Viper (Wired, light)"
52.9,"Viper (Wired, light)"
52.7,"Viper (Wired, light)"
52.5,"Viper (Wired, light)"
52.4,"Viper (Wired, light)"
52,"Viper (Wired, light)"
51.8,"Viper (Wired, light)"
51.3,"Viper (Wired, light)"
51.3,"Viper (Wired, light)"
51,"Viper (Wired, light)"
50.8,"Viper (Wired, light)"
50.3,"Viper (Wired, light)"
50.1,"Viper (Wired, light)"
49.8,"Viper (Wired, light)"
48.7,"Viper (Wired, light)"
48.3,"Viper (Wired, light)"
48.1,"Viper (Wired, light)"
47.6,"Viper (Wired, light)"
47.6,"Viper (Wired, light)"
47.6,"Viper (Wired, light)"
47.5,"Viper (Wired, light)"
47.5,"Viper (Wired, light)"
47.5,"Viper (Wired, light)"
50.5,"Viper (Wired, light)"
47.5,"Viper (Wired, light)"
46.4,"Viper (Wired, light)"
45.3,"Viper (Wired, light)"
45.7,"Viper (Wired, light)"
44.2,"Viper (Wired, light)"
43.8,"Viper (Wired, light)"
43.8,"Viper (Wired, light)"
43.7,"Viper (Wired, light)"
43.6,"Viper (Wired, light)"
43.6,"Viper (Wired, light)"
43.3,"Viper (Wired, light)"
43.2,"Viper (Wired, light)"
43.1,"Viper (Wired, light)"
42.7,"Viper (Wired, light)"
42.7,"Viper (Wired, light)"
42.5,"Viper (Wired, light)"
42.3,"Viper (Wired, light)"
42.2,"Viper (Wired, light)"
42.2,"Viper (Wired, light)"
41.6,"Viper (Wired, light)"
40.8,"Viper (Wired, light)"
40.3,"Viper (Wired, light)"
40,"Viper (Wired, light)"
38.9,"Viper (Wired, light)"
37.2,"Viper (Wired, light)"
36.7,"Viper (Wired, light)"
36.6,"Viper (Wired, light)"
36.1,"Viper (Wired, light)"
33.9,"Viper (Wired, light)"
31,"Viper (Wired, light)"
29.4,"Viper (Wired, light)"
19.6,"Viper (Wired, light)"
47.6,"Viper (Wired, light)"
