individual,satisfaction
1,7
2,8
3,5
4,6
5,9
6,8
7,6
8,8
9,8
10,9
11,9
12,7
13,6
14,9
15,6
16,8
17,8
18,6
19,5
20,9
21,3
22,8
23,8
24,10
25,6
26,6
27,8
28,6
29,5
30,10
31,7
32,9
33,6
34,9
35,7
36,8
37,5
38,3
39,6
40,7
41,7
42,10
43,6
44,9
45,6
46,6
47,8
48,6
49,8
50,5
51,6
52,6
53,10
54,4
55,6
56,7
57,8
58,5
59,7
60,6
61,8
62,9
63,7
64,6
65,9
66,6
67,8
68,6
69,6
70,5
71,7
72,4
73,8
74,4
75,7
76,9
77,7
78,9
79,6
80,9
81,7
82,4
83,9
84,9
85,5
86,7
87,8
88,8
89,7
90,6
91,7
92,7
93,4
94,8
95,7
96,9
97,6
98,5
99,9
100,7
101,7
102,8
103,6
104,8
105,8
106,6
107,8
108,9
109,7
110,8
111,7
112,9
113,7
114,8
115,8
116,9
117,7
118,9
119,7
120,9
121,7
122,5
123,6
124,7
125,7
126,7
127,8
128,6
129,8
130,10
131,8
132,9
133,7
134,5
135,3
136,5
137,9
138,8
139,7
140,7
141,9
142,5
143,8
144,8
145,8
146,9
147,6
148,7
149,4
150,6
151,10
152,6
153,7
154,6
155,6
156,8
157,7
158,5
159,6
160,6
161,6
162,9
163,8
164,6
165,6
166,9
167,6
168,7
169,6
170,5
171,6
172,6
173,8
174,7
175,10
176,9
177,6
178,8
179,7
180,6
181,7
182,7
183,6
184,9
185,5
186,7
187,7
188,7
189,6
190,7
191,5
192,6
193,7
194,8
195,6
196,7
197,6
198,5
199,7
200,9
201,5
202,9
203,5
204,9
205,9
206,5
207,5
208,7
209,8
210,7
211,9
212,9
213,9
214,6
215,7
216,5
217,5
218,7
219,7
220,7
221,7
222,8
223,9
224,7
225,8
226,8
227,8
228,5
229,6
230,8
231,8
232,8
233,4
234,5
235,6
236,6
237,7
238,7
239,9
240,5
241,7
242,7
243,7
244,7
245,8
246,7
247,7
248,6
249,7
250,8
251,9
252,6
253,8
254,6
255,5
256,10
257,9
258,7
259,8
260,7
261,7
262,8
263,6
264,9
265,6
266,8
267,9
268,9
269,6
270,7
271,6
272,10
273,7
274,6
275,9
276,8
277,4
278,5
279,7
280,5
281,6
282,7
283,9
284,10
285,8
286,8
287,5
288,7
289,7
290,8
291,7
292,7
293,8
294,7
295,5
296,5
297,8
298,7
299,5
300,8
301,10
302,8
303,6
304,9
305,6
306,7
307,5
308,6
309,7
310,8
311,5
312,8
313,3
314,9
315,7
316,7
317,8
318,6
319,6
320,9
321,7
322,8
323,10
324,8
325,5
326,3
327,7
328,4
329,6
330,8
331,9
332,6
333,8
334,7
335,6
336,6
337,7
338,8
339,7
340,9
341,8
342,7
343,6
344,8
345,8
346,3
347,5
348,7
349,7
350,7
351,7
352,7
353,10
354,8
355,9
356,8
357,7
358,9
359,7
360,7
361,6
362,8
363,6
364,5
365,7
366,8
367,7
368,4
369,9
370,8
371,6
372,6
373,3
374,6
375,9
376,7
377,9
378,9
379,7
380,8
381,6
382,7
383,5
384,7
385,6
386,9
387,8
388,4
389,8
390,6
391,8
392,4
393,6
394,4
395,7
396,8
397,8
398,9
399,5
400,7
401,8
402,9
403,8
404,7
405,9
406,9
407,8
408,7
409,8
410,7
411,8
412,7
413,9
414,7
415,6
416,8
417,7
418,6
419,8
420,6
421,5
422,7
423,5
424,8
425,6
426,6
427,9
428,7
429,4
430,7
431,6
432,8
433,8
434,6
435,9
436,9
437,7
438,9
439,6
440,6
441,6
442,8
443,6
444,7
445,8
446,4
447,8
448,5
449,8
450,5
451,5
452,8
453,9
454,6
455,6
456,6
457,7
458,8
459,9
460,7
461,10
462,9
463,9
464,5
465,5
466,7
467,6
468,5
469,8
470,5
471,6
472,6
473,8
474,5
475,6
476,6
477,9
478,8
479,8
480,4
481,6
482,8
483,6
484,8
485,8
486,7
487,6
488,5
489,7
490,8
491,6
492,8
493,7
494,7
495,6
496,8
497,6
498,9
499,6
500,9
501,6
502,9
503,8
504,7
505,8
506,9
507,8
508,8
509,6
510,6
511,8
512,8
513,2
514,7
515,7
516,5
517,10
518,6
519,6
520,8
521,7
522,7
523,8
524,8
525,8
526,5
527,7
528,7
529,7
530,9
531,6
532,6
533,5
534,8
535,6
536,6
537,5
538,7
539,6
540,5
541,7
542,6
543,6
544,8
545,8
546,8
547,4
548,7
549,8
550,5
551,7
552,10
553,6
554,6
555,6
556,7
557,6
558,7
559,6
560,6
561,7
562,7
563,6
564,5
565,8
566,4
567,7
568,5
569,9
570,8
571,6
572,6
573,10
