CPI-All Urban Consumers (Current Series),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUUR0000AA0,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"All items - old base in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,All items - old base,,,,,,,,,,,,,
Base Period:,1967=100,,,,,,,,,,,,,
Years:,1913 to 2018,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1913,29.4,29.3,29.3,29.4,29.2,29.3,29.6,29.8,29.9,30.1,30.2,30.1,,
1914,30.1,29.8,29.7,29.4,29.6,29.8,30.1,30.5,30.6,30.4,30.5,30.4,,
1915,30.3,30.1,29.8,30.1,30.2,30.3,30.3,30.3,30.4,30.7,30.9,31.0,,
1916,31.3,31.3,31.6,31.9,32.0,32.4,32.4,32.8,33.4,33.8,34.4,34.6,,
1917,35.0,35.8,36.0,37.6,38.4,38.8,38.4,39.0,39.7,40.4,40.5,41.0,,
1918,41.8,42.2,42.0,42.5,43.3,44.1,45.2,46.0,47.1,47.9,48.7,49.4,,
1919,49.5,48.4,49.0,49.9,50.6,50.7,52.1,53.0,53.3,54.2,55.5,56.7,,
1920,57.8,58.5,59.1,60.8,61.8,62.7,62.3,60.7,60.0,59.7,59.3,58.0,,
1921,57.0,55.2,54.8,54.1,53.1,52.8,52.9,53.1,52.5,52.4,52.1,51.8,,
1922,50.7,50.6,50.0,50.0,50.0,50.1,50.2,49.7,49.8,50.1,50.3,50.5,,
1923,50.3,50.2,50.4,50.6,50.7,51.0,51.5,51.3,51.6,51.7,51.8,51.8,,
1924,51.7,51.5,51.2,51.0,51.0,51.0,51.1,51.0,51.2,51.4,51.6,51.7,,
1925,51.8,51.6,51.7,51.6,51.8,52.4,53.1,53.1,52.9,53.1,54.0,53.7,,
1926,53.7,53.5,53.2,53.7,53.4,53.0,52.5,52.2,52.5,52.7,52.9,52.9,,
1927,52.5,52.1,51.8,51.8,52.2,52.7,51.7,51.4,51.7,52.0,51.9,51.8,,
1928,51.7,51.2,51.2,51.3,51.6,51.2,51.2,51.3,51.7,51.6,51.5,51.3,,
1929,51.2,51.1,50.9,50.7,51.0,51.2,51.7,51.9,51.8,51.8,51.7,51.4,,
1930,51.2,51.0,50.7,51.0,50.7,50.4,49.7,49.4,49.7,49.4,49.0,48.3,,
1931,47.6,46.9,46.6,46.3,45.8,45.3,45.2,45.1,44.9,44.6,44.1,43.7,,
1932,42.8,42.2,42.0,41.7,41.1,40.8,40.8,40.3,40.1,39.8,39.6,39.2,,
1933,38.6,38.0,37.7,37.6,37.7,38.1,39.2,39.6,39.6,39.6,39.6,39.4,,
1934,39.6,39.9,39.9,39.8,39.9,40.0,40.0,40.1,40.7,40.4,40.3,40.2,,
1935,40.8,41.1,41.0,41.4,41.2,41.1,40.9,40.9,41.1,41.1,41.3,41.4,,
1936,41.4,41.2,41.0,41.0,41.0,41.4,41.6,41.9,42.0,41.9,41.9,41.9,,
1937,42.2,42.3,42.6,42.8,43.0,43.1,43.3,43.4,43.8,43.6,43.3,43.2,,
1938,42.6,42.2,42.2,42.4,42.2,42.2,42.3,42.2,42.2,42.0,41.9,42.0,,
1939,41.8,41.6,41.5,41.4,41.4,41.4,41.4,41.4,42.2,42.0,42.0,41.8,,
1940,41.7,42.0,41.9,41.9,42.0,42.1,42.0,41.9,42.0,42.0,42.0,42.2,,
1941,42.2,42.2,42.4,42.8,43.1,43.9,44.1,44.5,45.3,45.8,46.2,46.3,,
1942,46.9,47.3,47.9,48.2,48.7,48.8,49.0,49.3,49.4,49.9,50.2,50.6,,
1943,50.6,50.7,51.5,52.1,52.5,52.4,52.0,51.8,52.0,52.2,52.1,52.2,,
1944,52.1,52.0,52.0,52.3,52.5,52.6,52.9,53.1,53.1,53.1,53.1,53.3,,
1945,53.3,53.2,53.2,53.3,53.7,54.2,54.3,54.3,54.1,54.1,54.3,54.5,,
1946,54.5,54.3,54.7,55.0,55.3,55.9,59.2,60.5,61.2,62.4,63.9,64.4,,
1947,64.4,64.3,65.7,65.7,65.5,66.0,66.6,67.3,68.9,68.9,69.3,70.2,,
1948,71.0,70.4,70.2,71.2,71.7,72.2,73.1,73.4,73.4,73.1,72.6,72.1,,
1949,72.0,71.2,71.4,71.5,71.4,71.5,71.0,71.2,71.5,71.1,71.2,70.8,,
1950,70.5,70.3,70.6,70.7,71.0,71.4,72.1,72.7,73.2,73.6,73.9,74.9,,
1951,76.1,77.0,77.3,77.4,77.7,77.6,77.7,77.7,78.2,78.6,79.0,79.3,,
1952,79.3,78.8,78.8,79.1,79.2,79.4,80.0,80.1,80.0,80.1,80.1,80.0,,
1953,79.8,79.4,79.6,79.7,79.9,80.2,80.4,80.6,80.7,80.9,80.6,80.5,,
1954,80.7,80.6,80.5,80.3,80.6,80.7,80.7,80.6,80.4,80.2,80.3,80.1,,
1955,80.1,80.1,80.1,80.1,80.1,80.1,80.4,80.2,80.5,80.5,80.6,80.4,,
1956,80.3,80.3,80.4,80.5,80.9,81.4,82.0,81.9,82.0,82.5,82.5,82.7,,
1957,82.8,83.1,83.3,83.6,83.8,84.3,84.7,84.8,84.9,84.9,85.2,85.2,,
1958,85.7,85.8,86.4,86.6,86.6,86.7,86.8,86.7,86.7,86.7,86.8,86.7,,
1959,86.8,86.7,86.7,86.8,86.9,87.3,87.5,87.4,87.7,88.0,88.0,88.0,,
1960,87.9,88.0,88.0,88.5,88.5,88.7,88.7,88.7,88.8,89.2,89.3,89.3,,
1961,89.3,89.3,89.3,89.3,89.3,89.4,89.8,89.7,89.9,89.9,89.9,89.9,,
1962,89.9,90.1,90.3,90.5,90.5,90.5,90.7,90.7,91.2,91.1,91.1,91.0,,
1963,91.1,91.2,91.3,91.3,91.3,91.7,92.1,92.1,92.1,92.2,92.3,92.5,,
1964,92.6,92.5,92.6,92.7,92.7,92.9,93.1,93.0,93.2,93.3,93.5,93.6,,
1965,93.6,93.6,93.7,94.0,94.2,94.7,94.8,94.6,94.8,94.9,95.1,95.4,,
1966,95.4,96.0,96.3,96.7,96.8,97.1,97.4,97.9,98.1,98.5,98.5,98.6,,
1967,98.6,98.7,98.9,99.1,99.4,99.7,100.2,100.5,100.7,101.0,101.3,101.6,,
1968,102.0,102.3,102.8,103.1,103.4,104.0,104.5,104.8,105.1,105.7,106.1,106.4,,
1969,106.7,107.1,108.0,108.7,109.0,109.7,110.2,110.7,111.2,111.6,112.2,112.9,,
1970,113.3,113.9,114.5,115.2,115.7,116.3,116.7,116.9,117.5,118.1,118.5,119.1,,
1971,119.2,119.4,119.8,120.2,120.8,121.5,121.8,122.1,122.2,122.4,122.6,123.1,,
1972,123.2,123.8,124.0,124.3,124.7,125.0,125.5,125.7,126.2,126.6,126.9,127.3,,
1973,127.7,128.6,129.8,130.7,131.5,132.4,132.7,135.1,135.5,136.6,137.6,138.5,,
1974,139.7,141.5,143.1,143.9,145.5,146.9,148.0,149.9,151.7,153.0,154.3,155.4,,
1975,156.1,157.2,157.8,158.6,159.3,160.6,162.3,162.8,163.6,164.6,165.6,166.3,,
