Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,NA,Tier 2,Supermarket Type1,1076.5986
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,NA,Tier 2,Supermarket Type1,4710.535
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,NA,Tier 2,Supermarket Type1,1587.933
FDN04,11.8,reg,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
FDU04,NA,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,NA,Tier 2,Supermarket Type1,1805.6496
FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,NA,Tier 2,Supermarket Type1,2732.4432
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,NA,Tier 3,Grocery Store,101.2016
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
FDR28,13.85,reg,0.026001976,Frozen Foods,161.521,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
FDQ28,NA,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,2002,NA,Tier 2,Supermarket Type1,2336.958
FDB41,19,Regular,0.097313129,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,1999,Medium,Tier 1,Supermarket Type1,780.9834
FDP28,13.65,Regular,0.134975628,Frozen Foods,260.0936,OUT010,1998,NA,Tier 3,Grocery Store,260.9936
FDH28,15.85,Regular,0.110030997,Frozen Foods,37.2506,OUT046,1997,Small,Tier 1,Supermarket Type1,265.6542
FDF05,17.5,Low Fat,0.027022883,Frozen Foods,262.491,OUT017,2007,NA,Tier 2,Supermarket Type1,5259.82
FDQ04,NA,Low Fat,0.148392623,Frozen Foods,41.5796,OUT019,1985,Small,Tier 1,Grocery Store,41.2796
FDG28,9.285,Regular,0.049559042,Frozen Foods,246.4144,OUT017,2007,NA,Tier 2,Supermarket Type1,1225.072
FDG29,17.6,Low Fat,0.056245075,Frozen Foods,43.3454,OUT013,1987,High,Tier 3,Supermarket Type1,1006.6896
FDM28,15.7,Low Fat,0.045166237,Frozen Foods,178.666,OUT013,1987,High,Tier 3,Supermarket Type1,2516.724
