Year,month,inflation,unemployment
1948,Jan,0.011267605633802778,3.4
1948,Feb,-0.00852272727272719,3.8
1948,Mar,-0.0028490028490028895,4
1948,Apr,0.014044943820224719,3.9
1948,May,0.00697350069735007,3.5
1948,Jun,0.006925207756232687,3.6
1948,Jul,0.012311901504787845,3.6
1948,Aug,0.004087193460490618,3.9
1948,Sep,0,3.8
1948,Oct,-0.00410396716826281,3.7
1948,Nov,-0.006887052341597796,3.8
1948,Dec,-0.006934812760055479,4
1949,Jan,-0.00138888888888881,4.3
1949,Feb,-0.011235955056179735,4.7
1949,Mar,0.002801120448179311,5
1949,Apr,0.001398601398601319,5.3
1949,May,-0.001400560224089556,6.1
1949,Jun,0.001398601398601319,6.2
1949,Jul,-0.007042253521126761,6.7
1949,Aug,0.0028089887640449836,6.8
1949,Sep,0.004195804195804156,6.6
1949,Oct,-0.005625879043600643,7.9
1949,Nov,0.0014044943820225916,6.4
1949,Dec,-0.005649717514124374,6.6
1950,Jan,-0.0042553191489361295,6.5
1950,Feb,-0.0028449502133713065,6.4
1950,Mar,0.004249291784702509,6.3
1950,Apr,0.001414427157001535,5.8
1950,May,0.004225352112676016,5.5
1950,Jun,0.005602240896358622,5.4
1950,Jul,0.009708737864077513,5
1950,Aug,0.008253094910591589,4.5
1950,Sep,0.006830601092896175,4.4
1950,Oct,0.005434782608695537,4.2
1950,Nov,0.004059539918809355,4.2
1950,Dec,0.013351134846461948,4.3
1951,Jan,0.015768725361366476,3.7
1951,Feb,0.011688311688311762,3.4
1951,Mar,0.003880983182406173,3.4
1951,Apr,0.0012919896640827973,3.1
1951,May,0.0038610038610038242,3
1951,Jun,-0.001288659793814543,3.2
1951,Jul,0.0012870012870013967,3.1
1951,Aug,0,3.1
1951,Sep,0.00639386189258312,3.3
1951,Oct,0.00508905852417292,3.5
1951,Nov,0.005063291139240578,3.5
1951,Dec,0.003783102143757846,3.1
1952,Jan,0,3.2
1952,Feb,-0.006345177664974619,3.1
1952,Mar,0,2.9
1952,Apr,0.003792667509481633,2.9
1952,May,0.0012626262626263703,3
1952,Jun,0.0025188916876574662,3
1952,Jul,0.007499999999999929,3.2
1952,Aug,0.0012484394506865708,3.4
1952,Sep,-0.001249999999999929,3.1
1952,Oct,0.0012484394506865708,3
1952,Nov,0,2.8
1952,Dec,-0.001249999999999929,2.7
1953,Jan,-0.002506265664160437,2.9
1953,Feb,-0.005037783375314754,2.6
1953,Mar,0.002512562814070209,2.6
1953,Apr,0.0012547051442911986,2.7
1953,May,0.002503128911138959,2.5
1953,Jun,0.0037406483790523334,2.5
1953,Jul,0.0024875621890547614,2.6
1953,Aug,0.0024813895781636308,2.7
1953,Sep,0.0012391573729864749,2.9
1953,Oct,0.002472187886279392,3.1
1953,Nov,-0.003722084367245799,3.5
1953,Dec,-0.0012422360248446499,4.5
1954,Jan,0.0024783147459727737,4.9
1954,Feb,-0.0012406947890819917,5.2
1954,Mar,-0.0012422360248446499,5.7
1954,Apr,-0.002490660024906636,5.9
1954,May,0.0037220843672456224,5.9
1954,Jun,0.0012391573729864749,5.6
1954,Jul,0,5.8
1954,Aug,-0.0012406947890819917,6
1954,Sep,-0.002487562189054585,6.1
1954,Oct,-0.0024937655860349482,5.7
1954,Nov,0.0012453300124532294,5.3
1954,Dec,-0.002496878901373319,5
1955,Jan,0,4.9
1955,Feb,0,4.7
1955,Mar,0,4.6
1955,Apr,0,4.7
1955,May,0,4.3
1955,Jun,0,4.2
1955,Jul,0.003731343283582231,4
1955,Aug,-0.0024937655860349482,4.2
1955,Sep,0.0037267080745341263,4.1
1955,Oct,0,4.3
1955,Nov,0.0012406947890818154,4.2
1955,Dec,-0.002487562189054585,4.2
1956,Jan,-0.0012453300124534064,4
1956,Feb,0,3.9
1956,Mar,0.0012437810945274692,4.2
1956,Apr,0.0012422360248446499,4
1956,May,0.004944375772558784,4.3
1956,Jun,0.006142506142506142,4.3
1956,Jul,0.007317073170731638,4.4
1956,Aug,-0.0012210012210011516,4.1
1956,Sep,0.0012195121951218818,3.9
1956,Oct,0.006060606060606061,3.9
1956,Nov,0,4.3
1956,Dec,0.002418379685610675,4.2
1957,Jan,0.0012077294685989652,4.2
1957,Feb,0.0036101083032490633,3.9
1957,Mar,0.0024009603841536956,3.7
1957,Apr,0.0035885167464114495,3.9
1957,May,0.002386634844868769,4.1
1957,Jun,0.005931198102016607,4.3
