lower,upper
64.7,73.4
65.2,74.8
68.95,77.55
62.2,70.8
63.5,72.1
60.7,69.3
67.5,76.1
65.2,73.8
67.2,75.8
65.5,74.1
65.2,73.8
69.2,77.8
66,74.6
62.8,71.1
61.2,69.8
67.2,75.8
66.2,74.8
66.2,74.8
60,68.6
61.5,70.1
69.2,77.5
65.2,73.8
65.2,73.8
68.5,77.1
65.7,74.3
67,75.6
66.2,74.8
64.7,73.3
69.5,78.1
63.2,71.8
63,71.6
62.2,70.8
70.7,79.3
64.7,73.3
63.7,72.3
63.2,71.8
63,71.6
66.5,75.1
68,76.6
67.5,76.1
67.5,76.1
69.7,78.6
68.7,77.3
62.3,71.9
66.2,74.8
66.2,74.8
66.2,74.8
67.7,76.3
64.5,73.1
63.5,72.1
63.5,72.1
68,76.6
66,74.6
67.2,75.8
66.2,74.8
64.7,73.2
67.9,76.5
66.5,75.1
66.5,75.1
64.7,73.3
61.7,70.3
66.3,74.9
63.5,72
67.2,75.8
67,75.6
65.5,74.1
67.2,75.8
64.7,73.3
64,72.6
62,70.6
63.7,72.3
65.7,74.3
