date,fuel,cost,miles,ethanol,octane,mpg,day
2012-10-17,12.376,45.28,244.1,NA,NA,19.72365869424693,82
2012-10-21,14.945,50.8,316.1,NA,NA,21.150886584141855,86
2012-10-28,13.102,43.22,229.7,NA,NA,17.53167455350328,93
2012-11-03,12.734,39.34,251.1,NA,NA,19.718862886759855,99
2012-11-20,14.125,46.32,233.7,NA,NA,16.54513274336283,116
2012-12-07,17.643,57.15,296.7,NA,NA,16.81686787961231,133
2012-12-13,14.009,42.85,281.9,NA,NA,20.12277821400528,139
2012-12-17,11.652,36.11,216,NA,NA,18.537590113285273,143
2012-12-19,5.26,16.14,128.5,NA,NA,24.429657794676807,145
2012-12-25,10.502,32.13,185,NA,NA,17.61569224909541,151
2012-12-29,7.063,21.18,125,NA,NA,17.697862098258533,155
2013-01-10,14.2,42.59,277.2,NA,NA,19.52112676056338,167
2013-01-15,16.527,50.23,286.9,NA,NA,17.359472378532097,172
2013-01-26,8.726,27.3,120.2,NA,NA,13.774925509970203,183
2013-02-02,4.685,15.46,69.8,NA,NA,14.898612593383138,190
2013-02-09,6.302,21.42,90,NA,NA,14.281180577594416,197
2013-02-23,11.479,41.31,170,NA,NA,14.809652408746407,211
2013-03-02,4.259,15.07,69.9,NA,NA,16.41230335759568,218
2013-03-09,7.547,26.71,174.3,NA,NA,23.095269643566983,225
2013-03-16,6.6,23.75,104.1,NA,NA,15.772727272727273,232
2013-03-23,15.454,56.55,305.1,NA,NA,19.74246149864113,239
2013-03-30,12.915,44.29,272.1,NA,NA,21.068524970964,246
2013-04-13,14.516,48.47,258.1,NA,NA,17.780380270046848,260
2013-04-26,14.572,46.91,243.1,10,NA,16.682679110623113,273
2013-05-11,11.299,39.87,188.8,10,NA,16.709443313567576,288
2013-05-14,7.18,27.21,166.8,0,NA,23.231197771587745,291
2013-05-19,14.864,65.36,351.1,0,NA,23.620828848223898,296
2013-05-19,12.753,49.72,296.3,10,NA,23.23374892182232,296
2013-05-19,8.893,33.61,153.5,10,NA,17.26076689531092,296
2013-05-31,7.792,28.82,163.6,10,NA,20.9958932238193,308
2013-06-09,15.714,55.93,328.2,0,87,20.88583428789614,317
2013-06-12,13.561,50.7,295.9,0,87,21.81992478430794,320
2013-06-21,15.338,55.05,311.9,0,87,20.33511539966097,329
2013-06-23,12.545,43.85,288.8,0,87,23.02112395376644,331
2013-06-24,10.862,36.27,210,10,89,19.33345608543546,332
2013-06-30,10.024,32.77,181.7,10,89,18.126496408619314,338
2013-07-12,14.552,52.37,316.9,0,87,21.77707531610775,350
2013-07-16,9.988,36.89,217.1,0,87,21.73608329995995,354
2013-07-18,10.783,39.58,218,0,87,20.21700825373273,356
2013-07-26,13.148,48.63,288.6,0,87,21.950106480073018,364
2013-07-28,10.42,37.92,249.4,0,87,23.934740882917467,366
2013-07-29,9.559,32.68,207,10,89,21.654984831049276,367
2013-08-17,13.598,45.81,242.6,10,89,17.840858949845565,386
2013-08-31,11.781,41.46,173.7,NA,NA,14.7440794499618,400
2013-09-07,7.653,26.93,116.6,NA,NA,15.235855220175095,407
2013-09-13,9.368,32.5,163,10,89,17.399658411614006,413
2013-09-19,10.241,34.5,198.2,10,89,19.35357875207499,419
2013-09-22,15.619,50.75,343.9,0,87,22.01805493309431,422
2013-09-26,15.732,51.43,323.2,10,87,20.5441139079583,426
2013-09-29,16.303,53.13,337.8,0,87,20.720112862663314,429
2013-10-03,12.238,39.52,265.3,10,87,21.67837882006864,433
2013-10-11,13.606,42.1,264,10,87,19.40320446861679,441
2013-10-17,6.234,19.44,105.1,10,87,16.85915944818736,447
2013-10-25,12.289,36.85,207.5,10,87,16.88501912279274,455
2013-10-31,10.653,31.1,198.9,10,87,18.67079695860321,461
2013-11-08,8.842,25.37,127.7,10,87,14.442433838498077,469
2013-11-14,6.761,19.06,98.7,10,87,14.598432184588079,475
2013-11-22,9.387,28.15,149.9,10,87,15.968893150101204,483
2013-11-22,12.567,38.95,246.4,0,87,19.606906978594733,483
2013-11-26,9.179,28.45,161.6,0,87,17.6054036387406,487
2013-11-26,11.912,3.72,254.8,0,88,21.390194761584954,487
2013-11-30,13.553,41.05,285,0,87,21.02855456356526,491
2013-12-01,9.433,27.53,198,10,87,20.990140994381427,492
2013-12-12,10.071,30.7,154.1,10,87,15.301360341574819,503
2013-12-18,6.735,19.52,100.5,10,87,14.922048997772828,509
2013-12-19,7.032,21.09,132.3,10,87,18.813993174061434,510
2013-12-19,15.072,41.11,321,10,87,21.297770700636942,510
2013-12-19,5.281,17.63,112.5,0,87,21.302783563718993,510
2013-12-26,15.231,47.96,291,10,87,19.10577112467993,517
2013-12-27,8.084,25.89,181.7,10,87,22.47649678377041,518
2013-12-27,7.443,24.55,181.6,10,87,24.3987639392718,518
2013-12-27,11.156,33.46,272,10,87,24.381498745069916,518
2013-12-27,16.403,50.83,324.5,0,88,19.782966530512713,518
2014-01-03,5.03,15.08,42.8,10,87,8.508946322067594,525
2014-01-04,15.059,48.17,330.3,0,87,21.933727339132748,526
2014-01-10,11.643,35.15,205,10,87,17.607145924589883,532
2014-01-24,12.86,38.82,189.3,10,87,14.720062208398135,546
2014-01-31,7.211,22.13,103,10,87,14.283733185411176,553
2014-02-07,5.717,NA,80.2,10,87,14.028336540143433,560
2014-02-07,14.043,45.49,271,0,87,19.297870825322224,560
2014-02-14,14.048,43.08,260.7,10,87,18.557801822323462,567
2014-02-28,15.342,50.92,264.7,10,87,17.25329161778125,581
2014-03-07,9.842,33.78,159.3,10,87,16.18573460678724,588
2014-03-22,9.135,30.14,143.9,10,87,15.752599890530925,603
2014-04-04,11.088,37.69,168.9,10,87,15.232683982683984,616
2014-04-11,7.224,25.06,126.2,10,87,17.46954595791805,623
2014-04-25,16.034,56.9,265.3,10,87,16.54608955968567,637
2014-04-25,11.119,40.46,239.3,0,87,21.521719579098843,637
2014-04-27,11.536,40.36,236.7,0,87,20.518377253814148,639
2014-04-27,12.88,46.39,237.7,0,87,18.454968944099377,639
2014-05-08,15.17,54.6,271.3,10,87,17.88398154251813,650
2014-05-22,14.168,47.87,261.3,10,87,18.442970073404858,664
2014-06-05,11.894,41.62,243.7,10,87,20.48932234740205,678
2014-06-09,NA,NA,160,10,87,NA,682
2014-07-10,15.198,51.35,244.8,10,87,16.107382550335572,713
2014-07-22,14.258,48.87,275.3,0,87,19.30845840931407,725
2014-07-25,10.593,33.78,229.8,0,87,21.69357122628151,728
2014-08-04,16.684,54.71,339,10,87,20.318868376888034,738
2014-08-13,NA,NA,NA,0,87,NA,747
2014-08-16,10.672,34.67,220.3,10,87,20.6428035982009,750
2014-08-28,8.905,28.93,146.7,10,87,16.47389107243122,762
2014-09-04,14.891,48.68,333.5,0,87,22.396078168020953,769
2014-09-05,9.059,29.43,181.8,10,87,20.06844022519042,770
2014-09-20,8.043,24.93,134,10,87,16.660450080815618,785
2014-10-03,10.161,31.49,186.8,10,87,18.38401732112981,798
2014-10-10,8.716,25.88,163.7,10,87,18.781551170261586,805
2014-10-25,17.188,50.17,320.6,10,87,18.652548289504306,820
2014-11-06,8.578,24.67,163.7,10,87,19.08370249475402,832
2014-11-09,11.902,34.22,264.3,0,87,22.206351873634684,835
2014-11-17,13.945,39.31,284,10,87,20.36572248117605,843
2014-11-24,14.879,40.46,243.2,0,87,16.34518448820485,850
2015-04-30,8.338,20.18,325.9,10,87,39.08611177740465,1007
2015-05-07,7.087,18.08,120.4,10,87,16.98885282912375,1014
