Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type
512 RIVER OAK DR,05-26-303-070,11,2010,174200,WRD,1056,164.96,1959,Detachd,2,2,1,0,1,0,Yes,0,1056,85,40551,RL,Wd Sdng,1-Story,1FamDet
3109 GROVE AVE,05-26-350-040,06,2010,105000,WRD,896,117.19,1961,Attachd,1,2,1,0,0,0,Yes,0,882,69,11622,RH,VinylSd,1-Story,1FamDet
630 RIVER OAK DR,05-26-351-010,06,2010,172000,WRD,1329,129.42,1958,Attachd,1,3,1,1,0,0,Yes,0,1329,69,14267,RL,Wd Sdng,1-Story,1FamDet
1605 WOODHAVEN CIR,05-27-190-210,10,2010,250000,WRD,1658,150.78,1985,Attachd,2,1,1,0,1,0,Yes,2,1648,100,6525,F-PRD,HdBoard,1-Story,1FamDet
3618 FLETCHER CIR,05-27-195-030,08,2011,220000,WRD,1885,116.71,1987,Attachd,2,3,2,0,1,0,Yes,2,1860,44,10559,F-PRD,Plywood,1-Story,1FamDet
4020 LAURA CT,05-27-216-120,06,2011,665000,WRD,2682,247.95,2005,Attachd,3,2,2,1,1,0,Yes,3,2656,87,11702,FS-RL,CemntBd,1-Story,1FamDet
1111 TOP O HOLLOW RD,05-27-250-033,07,2011,155000,WRD,1432,108.24,1954,None,0,3,1,0,1,0,Yes,0,1624,50,33902,RL,VinylSd,1-Story,1FamDet
1303 KINYON CIR,05-27-256-040,05,2011,439000,WRD,2042,214.99,2006,Attachd,3,3,2,0,1,0,Yes,1,2042,71,13870,FS-RL,CemntBd,1-Story,1FamDet
1316 KINYON CIR,05-27-258-010,06,2010,394432,New,1856,212.52,2010,Attachd,3,1,1,1,1,0,Yes,1,1856,78,11394,FS-RL,VinylSd,1-Story,1FamDet
3805 CALHOUN AVE,05-27-275-050,05,2011,139000,WRD,1280,108.59,1980,Attachd,2,3,1,0,0,0,Yes,1,1606,30,12060,RL,Plywood,1-Story,1FamDet
3719 DAWES DR,05-27-276-060,10,2010,78000,WRD,576,135.42,1950,None,0,2,1,0,0,0,No,0,0,0,52256,RL,VinylSd,1-Story,1FamDet
917 TOP O HOLLOW RD,05-27-276-150,06,2010,141000,WRD,864,163.19,1951,Detachd,2,2,1,0,0,0,Yes,0,864,14,19138,RL,VinylSd,1-Story,1FamDet
1618 TOP O HOLLOW RD,05-27-328-030,10,2010,155000,WRD,1149,134.90,1977,Attachd,2,3,1,1,0,0,Yes,0,1149,52,11563,RL,Plywood,1-Story,1FamDet
