Property Address,Reference#,Mo,Yr,Price,Inst,Area,$/SF,YrBlt,GarType,Gar#,BR,FB,HB,BB,BH,C/A,FP,Bsmt,%Fin,Land SF,Zone,Exterior1,Style,Type,Assessed
4011 BERKSHIRE AVE,05-27-105-030,06,2010,195500,WRD,1604,121.88,1998,Attachd,2,3,2,1,0,0,Yes,1,926,65,9978,RL,VinylSd,2-Story,1FamDet,
4008 BERKSHIRE AVE,05-27-106-140,06,2011,213500,WRD,1604,133.10,1998,Attachd,2,3,2,1,0,0,Yes,0,926,92,9535,RL,VinylSd,2-Story,1FamDet,
3902 EISENHOWER AVE,05-27-107-010,04,2011,174900,WRD,1636,106.91,1996,Attachd,2,3,2,1,0,0,Yes,1,916,15,15038,RL,HdBoard,2-Story,1FamDet,
2019 WYNGATE DR,05-27-107-200,12,2010,216000,WRD,1960,110.20,1997,BuiltIn,2,3,2,1,0,0,Yes,1,964,0,17627,RL,HdBoard,2-Story,1FamDet,
1927 WYNGATE DR,05-27-110-050,07,2010,180000,WRD,1661,108.37,1994,Attachd,2,3,2,1,0,0,Yes,1,773,33,8753,RL,HdBoard,2-Story,1FamDet,
2006 WYNGATE DR,05-27-110-080,05,2011,174000,WRD,1470,118.37,1997,Attachd,2,3,2,0,0,1,Yes,0,794,23,13869,RL,VinylSd,2-Story,1FamDet,
2032 WYNGATE DR,05-27-110-110,02,2011,173000,WRD,1608,107.59,1997,Attachd,2,3,2,1,0,0,Yes,1,945,0,8695,RL,VinylSd,2-Story,1FamDet,
3814 BERKSHIRE AVE,05-27-162-130,06,2010,189000,WRD,1804,104.77,1999,Attachd,2,3,2,1,0,0,Yes,1,994,0,7500,RL,VinylSd,2-Story,1FamDet,
3840 BERKSHIRE AVE,05-27-162-180,07,2011,190000,WRD,1633,116.35,1998,Attachd,2,3,2,1,0,0,Yes,1,932,0,11184,RL,VinylSd,2-Story,1FamDet,
3814 BROOKDALE AVE,05-27-164-090,09,2010,182000,WRD,1481,122.89,1994,Attachd,2,3,2,1,0,0,Yes,1,702,0,8125,RL,HdBoard,2-Story,1FamDet,
3832 BROOKDALE AVE,05-27-164-120,04,2011,186000,WRD,1895,98.15,1994,Attachd,2,3,2,1,0,0,Yes,1,712,0,10832,RL,MetalSd,2-Story,1FamDet,
2212 WINDFIELD DR,05-27-166-020,06,2011,185000,WRD,1515,122.11,1998,Attachd,2,3,2,1,0,0,Yes,1,801,78,9782,RL,VinylSd,2-Story,1FamDet,
4014 EDGEWATER DR,05-27-212-050,05,2011,322500,WRD,2504,128.79,2005,BuiltIn,3,4,2,1,0,0,Yes,1,1122,0,11198,FS-RL,VinylSd,2-Story,1FamDet,
4126 LAURA CT,05-27-216-070,06,2010,538000,WRD,3279,164.07,2003,BuiltIn,3,4,3,1,1,0,Yes,1,1650,86,53504,FS-RL,CemntBd,2-Story,1FamDet,
4011 DAWES DR,05-27-225-035,06,2010,164000,WRD,1752,93.61,1988,Basment,2,4,2,0,0,0,Yes,0,559,76,12134,RL,Wd Sdng,1.5 Fin,1FamDet,
2115 BUCHANAN DR,05-27-301-095,06,2011,207000,WRD,2513,82.37,1984,Attachd,2,4,2,1,0,0,Yes,1,1269,70,10800,RL,HdBoard,2-Story,1FamDet,226900
1814 BUCHANAN DR,05-27-325-090,07,2010,213000,WRD,1930,110.36,1979,Attachd,2,4,2,1,1,0,Yes,1,780,97,11339,RL,HdBoard,2-Story,1FamDet,
3323 BUCHANAN CT,05-27-327-050,09,2010,203000,WRD,2030,100.00,1976,Attachd,2,4,2,1,0,0,Yes,1,848,18,12046,RL,Plywood,2-Story,1FamDet,189300
1910 POLK DR,05-27-354-090,11,2010,222000,WRD,2520,88.10,1983,Attachd,2,4,2,1,0,0,Yes,1,922,56,14075,RL,VinylSd,2-Story,1FamDet,252100
1935 STEVENSON DR,05-27-354-120,01,2011,214000,WRD,2402,89.09,1979,Attachd,2,4,2,1,0,0,Yes,1,1197,71,10400,RL,HdBoard,2-Story,1FamDet,221200
2033 POLK DR,05-27-355-290,07,2011,203900,WRD,2726,74.80,1978,Attachd,2,4,2,1,0,0,Yes,1,1363,0,11568,RL,HdBoard,2-Story,1FamDet,229200
3020 EISENHOWER AVE,05-27-357-200,06,2011,204000,WRD,1855,109.97,1978,Attachd,2,3,2,1,0,0,Yes,1,720,50,11825,RL,Plywood,2-Story,1FamDet,183400
2723 SOMERSET DR,05-27-364-030,06,2011,246000,WRD,1884,130.57,2003,Attachd,2,3,2,1,1,0,Yes,1,926,67,7000,F-VR,CemntBd,2-Story,1FamDet,
1561 REAGAN DR,05-27-380-140,07,2011,285000,WRD,2247,126.84,1995,Attachd,3,4,2,1,1,0,Yes,1,1192,58,11076,RL,VinylSd,2-Story,1FamDet,
1111 GARNER CIR,05-27-402-240,11,2010,176000,WRD,1479,119.00,1972,Attachd,2,4,1,1,1,0,Yes,0,725,86,7472,RL,HdBoard,2-Story,1FamDet,
4213 WEMBLEY AVE,05-28-102-020,12,2010,301279,New,2106,143.06,2010,BuiltIn,2,4,2,1,0,0,Yes,1,872,0,12431,FS-RL,VinylSd,2-Story,1FamDet,
3020 SEDWICK ST,05-28-108-060,06,2011,455454,WRD,2736,166.47,2009,BuiltIn,3,4,2,1,0,0,Yes,1,1826,0,11937,FS-RL,VinylSd,2-Story,1FamDet,
3129 STOCKBURY ST,05-28-108-160,04,2011,287500,WRD,2168,132.61,2007,Attachd,3,3,2,1,1,0,Yes,1,1060,88,14154,FS-RL,VinylSd,2-Story,1FamDet,
3032 STOCKBURY ST,05-28-112-050,06,2010,442262,New,3044,145.29,2010,Attachd,3,3,2,1,0,0,Yes,1,1510,0,12197,FS-RL,VinylSd,2-Story,1FamDet,
3007 WESTON DR,05-28-112-090,06,2011,384000,New,2060,186.41,2010,BuiltIn,2,3,2,1,0,0,Yes,1,996,0,12945,FS-RL,CemntBd,2-Story,1FamDet,
3335 PRESTON CIR,05-28-118-010,04,2011,305000,WRD,2376,128.37,2005,BuiltIn,3,4,3,1,0,0,Yes,1,1158,0,14215,FS-RL,VinylSd,2-Story,1FamDet,
3327 PRESTON CIR,05-28-118-020,07,2011,311000,WRD,2452,126.84,2004,BuiltIn,3,4,3,1,0,0,Yes,1,1117,0,13418,FS-RL,VinylSd,2-Story,1FamDet,
3332 PRESTON CIR,05-28-118-110,06,2011,295000,WRD,2206,133.73,2005,BuiltIn,3,4,2,1,0,0,Yes,1,1090,0,13971,FS-RL,VinylSd,2-Story,1FamDet,
4304 HASTINGS AVE,05-28-125-040,07,2010,348000,New,2136,162.92,2009,BuiltIn,3,3,2,1,1,0,Yes,1,1042,74,10951,FS-RL,HdBoard,2-Story,1FamDet,
4208 HASTINGS AVE,05-28-125-060,07,2011,267000,WRD,2042,130.75,2008,BuiltIn,2,4,2,1,1,0,Yes,1,846,95,10789,FS-RL,VinylSd,2-Story,1FamDet,
3209 HARRISON RD,05-28-150-100,11,2010,352500,WRD,2382,147.98,2003,Attachd,3,4,2,1,1,0,Yes,1,1220,84,12188,FS-RL,MetalSd,2-Story,1FamDet,
3701 BRIDGEPORT DR,05-28-176-070,06,2010,320000,WRD,2250,142.22,2002,Attachd,3,3,2,1,1,0,Yes,1,1671,35,13650,FS-RL,VinylSd,2-Story,1FamDet,
3717 VALLEY VIEW RD,05-28-178-030,06,2011,415000,WRD,3249,127.73,2002,BuiltIn,3,4,3,1,1,0,Yes,1,3330,50,14040,FS-RL,VinylSd,2-Story,1FamDet,
4311 CRESTMOOR AVE,05-28-218-010,07,2011,190000,WRD,1536,123.70,2007,Attachd,2,3,2,1,0,0,Yes,1,768,0,15810,RL,VinylSd,2-Story,1FamDet,
4111 CRESTMOOR AVE,05-28-218-130,12,2010,174000,WRD,1496,116.31,2006,Attachd,2,3,2,1,0,0,Yes,1,654,0,17104,RL,VinylSd,2-Story,1FamDet,
2713 LAUREL ST,05-28-220-030,03,2011,183000,WRD,1484,123.32,2005,Attachd,2,3,2,1,0,0,Yes,1,742,0,7963,RL,VinylSd,2-Story,1FamDet,
2729 LAUREL ST,05-28-220-060,01,2011,206900,WRD,1848,111.96,2005,Attachd,2,4,2,1,1,0,Yes,1,948,79,19257,RL,VinylSd,2-Story,1FamDet,
3838 WELBECK DR,05-28-235-130,09,2010,189000,WRD,1313,143.95,2004,Attachd,2,3,2,1,0,0,Yes,1,711,0,9056,RL,VinylSd,2-Story,1FamDet,
3912 BRICKMAN AVE,05-28-240-100,12,2010,229000,WRD,2209,103.67,2003,BuiltIn,2,4,2,1,0,0,Yes,1,957,0,8007,RL,VinylSd,2-Story,1FamDet,
4011 HYDE AVE,05-28-250-020,02,2011,189000,WRD,1489,126.93,2003,Attachd,2,3,2,1,1,0,Yes,1,782,83,8965,RL,VinylSd,2-Story,1FamDet,
3914 WESTLAWN DR,05-28-250-120,06,2011,240000,WRD,2323,103.31,2001,BuiltIn,2,4,2,1,0,0,Yes,1,1012,71,7750,RL,VinylSd,2-Story,1FamDet,
3918 WESTLAWN DR,05-28-250-130,10,2010,233000,WRD,2407,96.80,2001,BuiltIn,2,4,2,1,0,0,Yes,1,1104,0,7897,RL,VinylSd,2-Story,1FamDet,
3821 WESTLAWN DR,05-28-275-050,05,2011,225000,WRD,2071,108.64,2000,BuiltIn,2,3,2,1,0,0,Yes,1,998,43,8035,RL,VinylSd,2-Story,1FamDet,
3809 WESTLAWN DR,05-28-275-080,07,2011,193000,WRD,1889,102.17,2000,Attachd,2,3,2,1,0,0,Yes,1,982,75,8658,RL,VinylSd,2-Story,1FamDet,
3828 WESTLAWN DR,05-28-280-200,07,2011,209000,WRD,1982,105.45,2001,BuiltIn,2,3,2,1,0,0,Yes,1,919,0,7965,RL,VinylSd,2-Story,1FamDet,
3817 WELBECK DR,05-28-290-080,07,2011,169000,WRD,1320,128.03,2002,Attachd,2,3,2,1,0,0,Yes,0,660,0,7750,RL,VinylSd,2-Story,1FamDet,
3142 BAYBERRY RD,05-28-315-060,05,2011,290000,WRD,2199,131.88,1997,Attachd,2,3,2,1,0,0,Yes,1,1173,0,9660,RL,HdBoard,2.5 Unf,1FamDet,
3318 RIDGETOP RD,05-28-321-010,06,2011,406500,WRD,2794,145.49,1995,Attachd,3,4,2,1,1,0,Yes,1,1462,47,15138,RL,VinylSd,2-Story,1FamDet,
3007 ALMOND RD,05-28-326-120,12,2010,246000,WRD,2462,99.92,2000,BuiltIn,3,4,2,1,0,0,Yes,1,1061,0,10750,RL,VinylSd,2-Story,1FamDet,
3315 VALLEY VIEW RD,05-28-330-100,03,2011,469700,WRD,2941,159.71,1999,BuiltIn,3,4,2,1,1,0,Yes,1,1727,93,12756,RL,VinylSd,2-Story,1FamDet,
3040 BAYBERRY RD,05-28-344-020,12,2010,320000,WRD,2582,123.93,1998,Attachd,3,4,2,1,1,0,Yes,1,1389,75,11002,RL,VinylSd,2-Story,1FamDet,
2911 RIDGETOP RD,05-28-360-050,01,2011,521000,WRD,3500,148.86,1993,Attachd,3,4,3,1,1,0,Yes,1,1733,97,17242,RL,MetalSd,2-Story,1FamDet,
3019 EVERGREEN CIR,05-28-364-030,10,2010,348500,WRD,2216,157.27,1996,Attachd,3,3,2,1,1,0,Yes,1,1633,63,8600,RL,VinylSd,1.5 Fin,1FamDet,
3109 SYCAMORE RD,05-28-365-130,11,2010,372500,WRD,2860,130.24,1997,Attachd,3,4,2,1,1,0,Yes,1,1999,58,13000,RL,VinylSd,2-Story,1FamDet,
3140 EVERGREEN RD,05-28-376-010,06,2011,352000,WRD,2538,138.69,1996,Attachd,3,4,2,1,1,0,Yes,1,1325,68,9044,RL,VinylSd,2-Story,1FamDet,
3005 ASPEN RD,05-28-380-050,06,2011,278000,WRD,2253,123.39,1997,Attachd,3,4,2,1,1,0,Yes,1,1075,74,13451,RL,VinylSd,2-Story,1FamDet,
2913 ARROWWOOD CIR,05-28-382-020,06,2011,287250,WRD,2270,126.54,1999,Attachd,3,4,2,1,0,0,Yes,1,1152,45,11764,RL,VinylSd,2-Story,1FamDet,
2907 ARROWWOOD CIR,05-28-382-030,06,2010,221000,WRD,1839,120.17,1998,Attachd,2,4,2,1,0,0,Yes,0,1195,0,16770,RL,VinylSd,2-Story,1FamDet,
3031 VALLEY VIEW RD,05-28-387-070,06,2011,232000,WRD,1767,131.30,1996,Attachd,2,3,2,1,1,0,Yes,1,912,82,10574,RL,VinylSd,2-Story,1FamDet,
2727 KINGSTON DR,05-28-452-010,09,2010,211279,WRD,1598,132.21,2010,Attachd,2,3,2,1,0,0,Yes,0,780,0,8137,F-VR,VinylSd,2-Story,1FamDet,
2722 CLAYTON DR,05-28-456-080,06,2010,305415,New,1936,157.76,2010,Attachd,3,3,2,1,1,0,Yes,1,985,77,9600,F-VR,VinylSd,2-Story,1FamDet,
