code,rep,win,n_cards_played,n_suns_played,owl_score,n_owls_left
AI,8,TRUE,24,8,0,0
TV,2,TRUE,33,9,0,0
JP,5,FALSE,40,13,18,4
EC,5,TRUE,37,11,0,0
MW,3,TRUE,28,10,0,0
JC,1,TRUE,32,8,0,0
AI,7,TRUE,26,7,0,0
VD,10,FALSE,34,13,15,5
TK,2,TRUE,24,7,0,0
IG,7,FALSE,37,13,17,3
HV,2,TRUE,16,6,0,0
KC,9,FALSE,30,13,24,5
PL,6,TRUE,30,10,0,0
WR,10,FALSE,35,13,30,5
LC,7,FALSE,38,13,93,6
RD,9,TRUE,22,10,0,0
LF,6,FALSE,32,13,104,5
SE,3,TRUE,10,3,0,0
WV,1,TRUE,38,10,0,0
EL,9,FALSE,31,13,42,4
JC,4,TRUE,25,8,0,0
ZQ,2,TRUE,39,11,0,0
LW,4,FALSE,37,13,81,5
PW,1,TRUE,10,1,0,0
RV,2,TRUE,34,11,0,0
UG,1,TRUE,28,10,0,0
WO,5,TRUE,14,6,0,0
AB,5,FALSE,32,13,48,6
KN,5,TRUE,27,8,0,0
VK,1,TRUE,14,5,0,0
WY,1,FALSE,39,13,3,2
RX,9,FALSE,38,13,22,2
LG,9,TRUE,15,5,0,0
WA,3,TRUE,13,4,0,0
IF,5,FALSE,37,13,65,4
KU,8,FALSE,34,13,25,4
VZ,6,FALSE,36,13,53,6
SW,2,TRUE,16,6,0,0
ZC,2,FALSE,33,13,2,1
WF,4,FALSE,21,13,31,3
YD,1,TRUE,24,10,0,0
RZ,10,TRUE,17,5,0,0
WW,1,FALSE,32,13,37,3
ER,10,TRUE,20,5,0,0
UP,3,FALSE,46,13,31,2
LC,4,FALSE,32,13,84,6
GL,5,FALSE,32,13,1,1
TX,8,TRUE,35,12,0,0
AH,5,FALSE,32,13,25,4
LF,4,FALSE,32,13,101,5
NZ,1,FALSE,42,13,74,5
NZ,7,FALSE,42,13,108,5
XH,6,FALSE,36,13,84,4
EV,1,TRUE,33,11,0,0
MW,1,TRUE,26,9,0,0
EL,2,TRUE,31,10,0,0
DX,5,TRUE,18,5,0,0
SL,9,FALSE,30,13,2,1
XC,10,TRUE,37,11,0,0
KH,7,FALSE,36,13,53,6
EH,7,FALSE,34,13,69,6
KA,7,FALSE,44,13,1,1
YG,9,TRUE,20,8,0,0
SO,1,TRUE,21,11,0,0
KP,9,FALSE,37,13,88,5
PY,8,TRUE,27,11,0,0
HR,6,FALSE,29,13,86,5
SE,2,TRUE,9,2,0,0
GT,8,FALSE,36,13,14,1
FJ,2,TRUE,40,12,0,0
KP,1,FALSE,42,13,85,5
IR,3,TRUE,30,8,0,0
JX,9,TRUE,25,10,0,0
EV,7,FALSE,30,13,19,5
SB,2,TRUE,35,7,0,0
XC,4,FALSE,40,13,8,1
YX,3,FALSE,40,13,24,6
WO,2,TRUE,14,6,0,0
IU,8,TRUE,36,12,0,0
IS,5,FALSE,36,13,6,3
TC,8,FALSE,45,13,85,5
WI,2,TRUE,41,11,0,0
KL,4,FALSE,41,13,70,5
BM,3,FALSE,45,13,27,2
PF,10,FALSE,42,13,5,2
KE,9,TRUE,23,9,0,0
AM,6,TRUE,30,9,0,0
AB,4,FALSE,40,13,4,2
DS,10,TRUE,29,9,0,0
SB,6,TRUE,45,12,0,0
LF,5,FALSE,37,13,53,5
OV,1,TRUE,25,11,0,0
VT,3,TRUE,13,5,0,0
RG,9,FALSE,28,13,14,3
ZY,1,TRUE,12,4,0,0
HV,10,TRUE,15,5,0,0
EK,2,TRUE,18,8,0,0
AI,10,TRUE,23,6,0,0
WR,3,FALSE,37,13,55,6
CY,2,FALSE,42,13,11,4
DK,5,FALSE,40,13,29,4
YD,3,TRUE,28,8,0,0
FG,4,TRUE,31,8,0,0
KP,6,FALSE,34,13,121,6
AC,5,TRUE,27,9,0,0
TC,9,FALSE,39,13,87,6
PE,1,TRUE,37,11,0,0
JE,1,FALSE,37,13,110,6
PY,10,TRUE,18,7,0,0
OA,8,FALSE,36,13,120,6
PE,7,TRUE,42,12,0,0
ZM,1,FALSE,37,13,20,4
PL,9,TRUE,33,11,0,0
KL,10,FALSE,43,13,53,3
DD,7,TRUE,30,11,0,0
LW,6,FALSE,39,13,61,5
SZ,9,TRUE,18,9,0,0
CV,1,FALSE,41,13,27,5
IR,6,FALSE,32,13,25,5
AB,6,TRUE,41,12,0,0
SO,6,TRUE,15,6,0,0
AC,8,TRUE,28,10,0,0
WH,2,TRUE,23,7,0,0
TV,6,TRUE,35,10,0,0
EK,5,TRUE,16,5,0,0
HH,9,FALSE,36,13,2,1
BM,1,FALSE,32,13,68,4
KH,9,FALSE,32,13,67,6
ET,6,TRUE,31,12,0,0
WY,10,FALSE,32,13,38,6
NB,4,TRUE,21,9,0,0
PY,7,TRUE,21,7,0,0
PE,4,TRUE,35,11,0,0
IH,5,FALSE,32,13,39,3
EC,3,TRUE,41,12,0,0
HX,9,TRUE,21,7,0,0
EH,3,FALSE,27,13,96,6
OF,10,FALSE,35,13,118,6
ZD,9,TRUE,13,5,0,0
VZ,9,FALSE,36,13,66,6
TD,8,TRUE,17,9,0,0
RV,8,FALSE,41,13,1,1
UG,6,TRUE,25,9,0,0
IR,9,TRUE,35,12,0,0
GC,6,TRUE,30,10,0,0
CY,7,FALSE,43,13,10,4
ZH,9,FALSE,34,13,29,4
TX,1,FALSE,24,13,40,4
YG,5,TRUE,25,11,0,0
RD,8,TRUE,17,6,0,0
OA,1,FALSE,37,13,120,6
BX,6,TRUE,20,5,0,0
WY,6,FALSE,42,13,1,1
CY,10,FALSE,32,13,65,6
PT,3,FALSE,35,13,102,6
HR,8,FALSE,38,13,16,4
ZF,3,TRUE,32,10,0,0
DS,7,TRUE,34,11,0,0
WH,5,TRUE,25,9,0,0
MW,10,TRUE,26,10,0,0
OZ,2,FALSE,25,13,106,5
WJ,10,TRUE,27,9,0,0
IK,9,FALSE,40,13,26,5
CV,5,FALSE,43,13,24,6
FS,6,TRUE,37,12,0,0
VT,9,TRUE,13,5,0,0
ZH,3,FALSE,31,13,53,5
CJ,5,TRUE,36,12,0,0
QG,2,TRUE,19,3,0,0
ZY,5,TRUE,12,4,0,0
UP,5,FALSE,42,13,26,2
AC,7,TRUE,31,12,0,0
VD,2,FALSE,36,13,15,5
QL,2,TRUE,30,7,0,0
VD,6,FALSE,31,13,45,6
WA,8,TRUE,14,5,0,0
YY,7,TRUE,23,9,0,0
OV,2,FALSE,35,13,2,1
YR,10,TRUE,40,10,0,0
TK,6,TRUE,23,7,0,0
RZ,4,TRUE,13,4,0,0
AC,9,TRUE,23,7,0,0
KA,1,TRUE,40,11,0,0
AH,8,FALSE,40,13,1,1
GT,6,FALSE,35,13,6,1
RZ,8,TRUE,14,2,0,0
SW,5,TRUE,20,8,0,0
KN,8,TRUE,25,8,0,0
GC,4,TRUE,28,8,0,0
KA,9,TRUE,37,9,0,0
FS,1,TRUE,25,9,0,0
PL,3,TRUE,30,11,0,0
QG,8,TRUE,16,3,0,0
EC,1,FALSE,40,13,1,1
WR,7,TRUE,42,12,0,0
CA,2,TRUE,23,7,0,0
HX,4,TRUE,20,6,0,0
KH,1,FALSE,36,13,36,5
VZ,3,FALSE,36,13,56,6
FB,9,FALSE,40,13,1,1
FJ,7,TRUE,41,12,0,0
XN,5,TRUE,30,8,0,0
LW,1,FALSE,36,13,78,5
SE,4,TRUE,16,8,0,0
MZ,1,TRUE,20,10,0,0
ZL,5,TRUE,14,6,0,0
JX,5,TRUE,29,12,0,0
PW,7,TRUE,21,6,0,0
TX,2,FALSE,32,13,3,2
XB,1,TRUE,17,6,0,0
LG,2,TRUE,12,5,0,0
GZ,10,FALSE,40,13,1,1
OZ,10,FALSE,30,13,67,5
OB,4,FALSE,35,13,34,4
CY,8,FALSE,44,13,12,3
CA,10,TRUE,28,12,0,0
YR,2,TRUE,43,12,0,0
XK,10,TRUE,25,8,0,0
TV,10,TRUE,35,11,0,0
FG,10,FALSE,36,13,3,2
HR,1,FALSE,39,13,23,4
WH,3,TRUE,26,9,0,0
FA,10,FALSE,45,13,71,6
AI,9,TRUE,25,7,0,0
UP,7,FALSE,43,13,10,2
WF,1,FALSE,30,13,1,1
DX,6,TRUE,17,5,0,0
XW,1,TRUE,20,9,0,0
RG,10,TRUE,22,6,0,0
LS,7,FALSE,31,13,68,4
IU,5,TRUE,28,8,0,0
IS,3,FALSE,30,13,42,6
ET,8,TRUE,34,12,0,0
DU,8,FALSE,42,13,22,1
LW,7,FALSE,32,13,77,5
WF,10,FALSE,31,13,1,1
KE,5,TRUE,17,3,0,0
CA,8,TRUE,28,9,0,0
OX,7,TRUE,21,6,0,0
OX,6,TRUE,17,6,0,0
GL,3,FALSE,35,13,3,2
BX,7,TRUE,25,6,0,0
LT,2,TRUE,22,8,0,0
NW,5,FALSE,35,13,9,3
MQ,6,TRUE,33,12,0,0
YD,5,FALSE,32,13,11,1
SZ,8,TRUE,13,6,0,0
AH,4,TRUE,36,9,0,0
BF,4,TRUE,31,11,0,0
JP,7,FALSE,42,13,7,2
KH,4,FALSE,31,13,86,6
VT,8,TRUE,12,5,0,0
SZ,7,TRUE,16,9,0,0
SB,7,FALSE,41,13,6,3
IK,3,TRUE,37,10,0,0
RG,3,TRUE,32,11,0,0
YY,8,TRUE,22,7,0,0
WV,8,TRUE,41,12,0,0
ZD,2,TRUE,12,4,0,0
ZL,4,TRUE,8,1,0,0
CA,1,TRUE,28,9,0,0
HV,7,TRUE,19,6,0,0
UG,3,TRUE,24,7,0,0
UG,4,TRUE,31,11,0,0
EV,3,FALSE,30,13,19,5
RX,10,FALSE,38,13,8,1
YW,2,FALSE,34,13,50,5
KA,10,FALSE,33,13,52,5
NV,8,TRUE,25,6,0,0
CY,3,FALSE,41,13,28,5
XB,4,TRUE,15,6,0,0
AB,10,FALSE,34,13,48,6
RV,10,FALSE,36,13,1,1
VY,4,TRUE,22,8,0,0
ZM,3,TRUE,30,10,0,0
VT,5,TRUE,14,6,0,0
KC,8,TRUE,37,11,0,0
SL,5,FALSE,29,13,1,1
LG,6,TRUE,16,7,0,0
OF,2,FALSE,41,13,68,5
RX,3,FALSE,37,13,16,1
CA,6,TRUE,31,12,0,0
DU,2,FALSE,39,13,22,2
WR,9,FALSE,36,13,46,5
IG,5,FALSE,36,13,35,4
OF,4,FALSE,38,13,117,5
MF,8,TRUE,36,10,0,0
RX,6,FALSE,35,13,36,3
WA,1,TRUE,13,5,0,0
MZ,4,TRUE,18,8,0,0
DP,2,TRUE,16,3,0,0
VK,7,TRUE,12,2,0,0
VW,2,FALSE,43,13,18,3
TV,8,TRUE,34,12,0,0
BM,4,FALSE,35,13,67,4
OX,4,TRUE,23,9,0,0
JX,8,TRUE,23,8,0,0
EL,10,FALSE,39,13,11,3
IF,1,FALSE,40,13,28,4
NV,7,FALSE,29,13,2,1
II,2,FALSE,38,13,21,3
EK,1,TRUE,21,9,0,0
XK,6,FALSE,33,13,13,3
XH,9,FALSE,42,13,70,4
BU,1,TRUE,27,11,0,0
RZ,1,TRUE,14,3,0,0
GZ,8,TRUE,35,12,0,0
DX,8,TRUE,17,5,0,0
PT,7,FALSE,28,13,141,6
XW,5,TRUE,20,9,0,0
RZ,7,TRUE,15,6,0,0
AM,2,TRUE,33,11,0,0
BF,1,TRUE,29,7,0,0
SB,3,FALSE,32,13,65,6
