n_players,n_owls,n_cards_per_player,strategy,code
2,1,2,random,LT
3,1,2,random,BU
4,1,2,random,PW
2,2,2,random,WJ
3,2,2,random,FO
4,2,2,random,FS
2,3,2,random,WW
3,3,2,random,II
4,3,2,random,UR
2,4,2,random,EQ
3,4,2,random,UP
4,4,2,random,VW
2,5,2,random,DK
3,5,2,random,YJ
4,5,2,random,KL
2,6,2,random,FA
3,6,2,random,TC
4,6,2,random,KP
2,1,3,random,RZ
3,1,3,random,NB
4,1,3,random,TP
2,2,3,random,TK
3,2,3,random,NV
4,2,3,random,BF
2,3,3,random,DU
3,3,3,random,CJ
4,3,3,random,NK
2,4,3,random,BM
3,4,3,random,WM
4,4,3,random,IF
2,5,3,random,XH
3,5,3,random,JO
4,5,3,random,LF
2,6,3,random,NZ
3,6,3,random,OF
4,6,3,random,JE
2,1,4,random,EK
3,1,4,random,HV
4,1,4,random,XW
2,2,4,random,PL
3,2,4,random,YD
4,2,4,random,OV
2,3,4,random,XC
3,3,4,random,RX
4,3,4,random,GT
2,4,4,random,IH
3,4,4,random,OB
4,4,4,random,LS
2,5,4,random,TS
3,5,4,random,LW
4,5,4,random,GY
2,6,4,random,LC
3,6,4,random,PT
4,6,4,random,OA
2,1,2,last_owl_farthest,ZL
3,1,2,last_owl_farthest,QS
4,1,2,last_owl_farthest,VT
2,2,2,last_owl_farthest,QG
3,2,2,last_owl_farthest,KE
4,2,2,last_owl_farthest,OX
2,3,2,last_owl_farthest,RG
3,3,2,last_owl_farthest,GC
4,3,2,last_owl_farthest,MQ
2,4,2,last_owl_farthest,ZN
3,4,2,last_owl_farthest,HH
4,4,2,last_owl_farthest,QL
2,5,2,last_owl_farthest,UU
3,5,2,last_owl_farthest,FB
4,5,2,last_owl_farthest,RV
2,6,2,last_owl_farthest,YR
3,6,2,last_owl_farthest,PF
4,6,2,last_owl_farthest,ZQ
2,1,3,last_owl_farthest,ZD
3,1,3,last_owl_farthest,SE
4,1,3,last_owl_farthest,WO
2,2,3,last_owl_farthest,HX
3,2,3,last_owl_farthest,DX
4,2,3,last_owl_farthest,DP
2,3,3,last_owl_farthest,GB
3,3,3,last_owl_farthest,KN
4,3,3,last_owl_farthest,JX
2,4,3,last_owl_farthest,TV
3,4,3,last_owl_farthest,AM
4,4,3,last_owl_farthest,ON
2,5,3,last_owl_farthest,NW
3,5,3,last_owl_farthest,IR
4,5,3,last_owl_farthest,GZ
2,6,3,last_owl_farthest,AB
3,6,3,last_owl_farthest,WY
4,6,3,last_owl_farthest,XM
2,1,4,last_owl_farthest,LG
3,1,4,last_owl_farthest,ZY
4,1,4,last_owl_farthest,SZ
2,2,4,last_owl_farthest,YY
3,2,4,last_owl_farthest,PY
4,2,4,last_owl_farthest,YG
2,3,4,last_owl_farthest,WH
3,3,4,last_owl_farthest,AC
4,3,4,last_owl_farthest,WF
2,4,4,last_owl_farthest,GL
3,4,4,last_owl_farthest,ZC
4,4,4,last_owl_farthest,TX
2,5,4,last_owl_farthest,FG
3,5,4,last_owl_farthest,KC
4,5,4,last_owl_farthest,EV
2,6,4,last_owl_farthest,ZT
3,6,4,last_owl_farthest,VD
4,6,4,last_owl_farthest,IS
2,1,2,last_owl_random,SV
3,1,2,last_owl_random,RD
4,1,2,last_owl_random,WA
2,2,2,last_owl_random,DD
3,2,2,last_owl_random,AI
4,2,2,last_owl_random,BX
2,3,2,last_owl_random,JC
3,3,2,last_owl_random,ZF
4,3,2,last_owl_random,XN
2,4,2,last_owl_random,AH
3,4,2,last_owl_random,PE
4,4,2,last_owl_random,FJ
2,5,2,last_owl_random,WV
3,5,2,last_owl_random,IK
4,5,2,last_owl_random,KA
2,6,2,last_owl_random,SB
3,6,2,last_owl_random,JV
4,6,2,last_owl_random,CY
2,1,3,last_owl_random,XB
3,1,3,last_owl_random,MZ
4,1,3,last_owl_random,SO
2,2,3,last_owl_random,UG
3,2,3,last_owl_random,ER
4,2,3,last_owl_random,CA
2,3,3,last_owl_random,YQ
3,3,3,last_owl_random,DS
4,3,3,last_owl_random,IU
2,4,3,last_owl_random,MF
3,4,3,last_owl_random,ZM
4,4,3,last_owl_random,EL
2,5,3,last_owl_random,WI
3,5,3,last_owl_random,JP
4,5,3,last_owl_random,ZH
2,6,3,last_owl_random,CV
3,6,3,last_owl_random,WR
4,6,3,last_owl_random,VZ
2,1,4,last_owl_random,VK
3,1,4,last_owl_random,SW
4,1,4,last_owl_random,TD
2,2,4,last_owl_random,MW
3,2,4,last_owl_random,VY
4,2,4,last_owl_random,SL
2,3,4,last_owl_random,AU
3,3,4,last_owl_random,ET
4,3,4,last_owl_random,XK
2,4,4,last_owl_random,EC
3,4,4,last_owl_random,IG
4,4,4,last_owl_random,KU
2,5,4,last_owl_random,YW
3,5,4,last_owl_random,HR
4,5,4,last_owl_random,OZ
2,6,4,last_owl_random,YX
3,6,4,last_owl_random,EH
4,6,4,last_owl_random,KH
