"nrricode","year","forest","count","count1","count2","count3","count.add","samples","ave","abbrev","forestN"
300,1998,9090,12,8,1,3,12,486,0.0246913580246914,"RUGR","Superior"
300,2000,9030,1,1,0,0,1,393,0.00254452926208651,"RUGR","Chippewa"
300,1999,9030,13,12,0,1,13,396,0.0328282828282828,"RUGR","Chippewa"
300,2001,9090,10,4,2,4,10,491,0.0203665987780041,"RUGR","Superior"
300,1998,9030,18,12,0,6,18,383,0.0469973890339426,"RUGR","Chippewa"
300,1997,9090,52,31,16,5,52,487,0.106776180698152,"RUGR","Superior"
300,2013,9090,82,49,11,22,82,563,0.145648312611012,"RUGR","Superior"
300,2011,9030,1,0,0,1,1,383,0.00261096605744125,"RUGR","Chippewa"
300,2010,9090,2,1,0,1,2,535,0.00373831775700935,"RUGR","Superior"
300,1996,9020,66,41,10,15,66,391,0.168797953964194,"RUGR","Chequamegon"
300,1996,9030,7,4,2,1,7,391,0.0179028132992327,"RUGR","Chippewa"
300,2002,9020,86,54,14,18,86,390,0.220512820512821,"RUGR","Chequamegon"
300,2006,9030,5,4,0,1,5,391,0.0127877237851662,"RUGR","Chippewa"
300,2010,9030,8,7,0,1,8,350,0.0228571428571429,"RUGR","Chippewa"
300,2007,9020,14,11,1,2,14,378,0.037037037037037,"RUGR","Chequamegon"
300,2013,9030,7,2,1,4,7,390,0.0179487179487179,"RUGR","Chippewa"
300,2004,9020,68,40,13,15,68,381,0.178477690288714,"RUGR","Chequamegon"
300,2000,9090,9,3,2,4,9,484,0.0185950413223141,"RUGR","Superior"
300,1998,9020,15,9,4,2,15,387,0.0387596899224806,"RUGR","Chequamegon"
300,2005,9030,0,0,0,0,1,389,0,"RUGR","Chippewa"
300,1996,9090,65,39,11,15,65,482,0.134854771784232,"RUGR","Superior"
300,2008,9020,98,67,11,20,98,380,0.257894736842105,"RUGR","Chequamegon"
300,2008,9090,38,21,7,10,38,557,0.0682226211849192,"RUGR","Superior"
300,2003,9020,77,48,19,10,77,387,0.198966408268734,"RUGR","Chequamegon"
300,2004,9090,32,18,8,6,32,470,0.0680851063829787,"RUGR","Superior"
300,2011,9090,34,14,12,8,34,538,0.0631970260223048,"RUGR","Superior"
300,1999,9090,13,4,0,9,13,487,0.026694045174538,"RUGR","Superior"
300,2008,9030,2,2,0,0,2,361,0.00554016620498615,"RUGR","Chippewa"
300,1997,9020,96,47,27,22,96,390,0.246153846153846,"RUGR","Chequamegon"
300,2003,9030,9,6,2,1,9,393,0.0229007633587786,"RUGR","Chippewa"
300,2009,9090,44,19,10,15,44,553,0.0795660036166365,"RUGR","Superior"
300,2012,9030,2,1,0,1,2,362,0.00552486187845304,"RUGR","Chippewa"
300,2002,9090,30,23,4,3,30,489,0.0613496932515337,"RUGR","Superior"
300,2012,9090,24,6,7,11,24,556,0.0431654676258993,"RUGR","Superior"
300,1995,9020,31,21,5,5,31,385,0.0805194805194805,"RUGR","Chequamegon"
300,2009,9020,88,49,12,27,88,381,0.230971128608924,"RUGR","Chequamegon"
300,2000,9020,29,12,10,7,29,375,0.0773333333333333,"RUGR","Chequamegon"
300,2007,9090,6,5,0,1,6,487,0.0123203285420945,"RUGR","Superior"
300,2006,9020,24,15,4,5,24,388,0.0618556701030928,"RUGR","Chequamegon"
300,2006,9090,4,1,1,2,4,475,0.00842105263157895,"RUGR","Superior"
300,1997,9030,4,4,0,0,4,393,0.0101781170483461,"RUGR","Chippewa"
300,1999,9020,28,11,6,11,28,385,0.0727272727272727,"RUGR","Chequamegon"
300,1995,9090,6,5,0,1,6,488,0.0122950819672131,"RUGR","Superior"
300,2007,9030,2,0,2,0,2,389,0.0051413881748072,"RUGR","Chippewa"
300,2001,9030,10,4,5,1,10,390,0.0256410256410256,"RUGR","Chippewa"
300,2010,9020,9,5,3,1,9,361,0.0249307479224377,"RUGR","Chequamegon"
300,2005,9020,19,7,6,6,19,383,0.0496083550913838,"RUGR","Chequamegon"
300,2009,9030,3,2,1,0,3,390,0.00769230769230769,"RUGR","Chippewa"
300,2005,9090,9,6,1,2,9,485,0.0185567010309278,"RUGR","Superior"
300,2002,9030,3,3,0,0,3,393,0.00763358778625954,"RUGR","Chippewa"
300,2003,9090,23,12,6,5,23,491,0.0468431771894094,"RUGR","Superior"
300,2004,9030,4,2,2,0,4,395,0.010126582278481,"RUGR","Chippewa"
300,1995,9030,6,5,0,1,6,390,0.0153846153846154,"RUGR","Chippewa"
300,2001,9020,20,12,4,4,20,389,0.051413881748072,"RUGR","Chequamegon"
393,1995,9030,3,0,2,1,3,390,0.00769230769230769,"HAWO","Chippewa"
393,2006,9090,11,4,4,3,11,475,0.0231578947368421,"HAWO","Superior"
393,1996,9090,8,6,1,1,8,482,0.016597510373444,"HAWO","Superior"
393,2001,9020,21,10,3,8,21,389,0.0539845758354756,"HAWO","Chequamegon"
393,2013,9030,10,4,2,4,10,390,0.0256410256410256,"HAWO","Chippewa"
393,2010,9020,9,3,2,4,9,361,0.0249307479224377,"HAWO","Chequamegon"
393,1995,9020,8,3,0,5,8,385,0.0207792207792208,"HAWO","Chequamegon"
393,2008,9030,31,19,3,9,31,361,0.0858725761772853,"HAWO","Chippewa"
393,1999,9030,16,5,6,5,16,396,0.0404040404040404,"HAWO","Chippewa"
393,2013,9090,12,4,2,6,12,563,0.0213143872113677,"HAWO","Superior"
393,2010,9030,3,1,0,2,3,350,0.00857142857142857,"HAWO","Chippewa"
393,1996,9020,11,2,3,6,11,391,0.0281329923273657,"HAWO","Chequamegon"
393,2005,9020,30,10,3,17,30,383,0.0783289817232376,"HAWO","Chequamegon"
393,2011,9090,13,3,5,5,13,538,0.0241635687732342,"HAWO","Superior"
393,2000,9020,26,8,6,12,26,375,0.0693333333333333,"HAWO","Chequamegon"
393,2001,9090,15,11,2,2,15,491,0.0305498981670061,"HAWO","Superior"
393,2007,9090,28,9,4,15,28,487,0.0574948665297741,"HAWO","Superior"
393,1998,9030,24,13,5,6,24,383,0.0626631853785901,"HAWO","Chippewa"
393,2004,9030,23,16,3,4,23,395,0.0582278481012658,"HAWO","Chippewa"
393,2003,9030,23,9,6,8,23,393,0.0585241730279898,"HAWO","Chippewa"
393,2007,9020,33,11,5,17,33,378,0.0873015873015873,"HAWO","Chequamegon"
393,1998,9090,16,8,3,5,16,486,0.0329218106995885,"HAWO","Superior"
393,2006,9030,15,10,2,3,15,391,0.0383631713554987,"HAWO","Chippewa"
393,1997,9020,17,4,5,8,17,390,0.0435897435897436,"HAWO","Chequamegon"
393,2002,9090,22,9,5,8,22,489,0.0449897750511247,"HAWO","Superior"
393,1998,9020,18,9,4,5,18,387,0.0465116279069767,"HAWO","Chequamegon"
393,2002,9030,20,12,2,6,20,393,0.0508905852417303,"HAWO","Chippewa"
393,2008,9020,44,23,6,15,44,380,0.115789473684211,"HAWO","Chequamegon"
393,1996,9030,11,4,2,5,11,391,0.0281329923273657,"HAWO","Chippewa"
393,2009,9090,26,12,2,12,26,553,0.0470162748643761,"HAWO","Superior"
393,2007,9030,38,14,10,14,38,389,0.0976863753213368,"HAWO","Chippewa"
393,2000,9030,24,13,3,8,24,393,0.0610687022900763,"HAWO","Chippewa"
393,2011,9030,12,6,2,4,12,383,0.031331592689295,"HAWO","Chippewa"
393,1997,9030,14,7,4,3,14,393,0.0356234096692112,"HAWO","Chippewa"
393,2005,9030,10,5,4,1,10,389,0.025706940874036,"HAWO","Chippewa"
393,2005,9090,21,10,3,8,21,485,0.0432989690721649,"HAWO","Superior"
393,2009,9030,16,5,2,9,16,390,0.041025641025641,"HAWO","Chippewa"
393,1997,9090,10,3,3,4,10,487,0.0205338809034908,"HAWO","Superior"
393,2006,9020,30,11,5,14,30,388,0.077319587628866,"HAWO","Chequamegon"
393,2012,9030,17,3,5,9,17,362,0.0469613259668508,"HAWO","Chippewa"
393,2008,9090,58,16,12,30,58,557,0.104129263913824,"HAWO","Superior"
393,1999,9090,19,10,4,5,19,487,0.0390143737166324,"HAWO","Superior"
393,2003,9090,29,18,2,9,29,491,0.0590631364562118,"HAWO","Superior"
393,2012,9090,26,9,7,10,26,556,0.0467625899280576,"HAWO","Superior"
393,2010,9090,25,12,4,9,25,535,0.0467289719626168,"HAWO","Superior"
393,2004,9090,32,15,2,15,32,470,0.0680851063829787,"HAWO","Superior"
393,2001,9030,9,3,5,1,9,390,0.0230769230769231,"HAWO","Chippewa"
393,2003,9020,39,18,4,17,39,387,0.10077519379845,"HAWO","Chequamegon"
393,1999,9020,24,11,5,8,24,385,0.0623376623376623,"HAWO","Chequamegon"
393,1995,9090,5,0,0,5,5,488,0.0102459016393443,"HAWO","Superior"
393,2002,9020,33,20,5,8,33,390,0.0846153846153846,"HAWO","Chequamegon"
393,2004,9020,24,16,2,6,24,381,0.062992125984252,"HAWO","Chequamegon"
393,2009,9020,21,9,1,11,21,381,0.0551181102362205,"HAWO","Chequamegon"
393,2000,9090,31,19,3,9,31,484,0.0640495867768595,"HAWO","Superior"
394,2006,9090,14,6,4,4,14,475,0.0294736842105263,"DOWO","Superior"
394,2009,9090,6,1,0,5,6,553,0.0108499095840868,"DOWO","Superior"
394,2001,9090,13,7,1,5,13,491,0.0264765784114053,"DOWO","Superior"
394,2002,9090,15,8,2,5,15,489,0.0306748466257669,"DOWO","Superior"
394,2005,9020,11,6,0,5,11,383,0.0287206266318538,"DOWO","Chequamegon"
394,2000,9020,5,1,1,3,5,375,0.0133333333333333,"DOWO","Chequamegon"
394,2013,9090,8,1,3,4,8,563,0.0142095914742451,"DOWO","Superior"
394,1996,9020,2,0,1,1,2,391,0.0051150895140665,"DOWO","Chequamegon"
394,2001,9020,12,5,1,6,12,389,0.0308483290488432,"DOWO","Chequamegon"
394,2004,9090,6,2,2,2,6,470,0.0127659574468085,"DOWO","Superior"
394,1995,9020,8,4,1,3,8,385,0.0207792207792208,"DOWO","Chequamegon"
394,1996,9090,1,1,0,0,1,482,0.0020746887966805,"DOWO","Superior"
394,2013,9030,7,5,1,1,7,390,0.0179487179487179,"DOWO","Chippewa"
394,1996,9030,5,1,1,3,5,391,0.0127877237851662,"DOWO","Chippewa"
394,2010,9030,7,3,2,2,7,350,0.02,"DOWO","Chippewa"
394,2002,9020,9,3,1,5,9,390,0.0230769230769231,"DOWO","Chequamegon"
394,2009,9030,8,6,0,2,8,390,0.0205128205128205,"DOWO","Chippewa"
394,1995,9030,11,6,1,4,11,390,0.0282051282051282,"DOWO","Chippewa"
394,2008,9030,18,10,2,6,18,361,0.0498614958448753,"DOWO","Chippewa"
394,2004,9030,16,8,0,8,16,395,0.0405063291139241,"DOWO","Chippewa"
394,2008,9020,7,4,1,2,7,380,0.0184210526315789,"DOWO","Chequamegon"
394,2001,9030,11,7,0,4,11,390,0.0282051282051282,"DOWO","Chippewa"
