"","genotype","block","leaf","spore","hypha","prop","pot"
"1","X","1",1,82,25,0.304878048780488,"X1"
"2","X","1",2,80,8,0.1,"X1"
"3","X","1",3,90,34,0.377777777777778,"X1"
"4","X","1",4,85,24,0.282352941176471,"X1"
"5","X","1",5,84,27,0.321428571428571,"X1"
"6","X","2",1,95,41,0.431578947368421,"X2"
"7","X","2",2,98,45,0.459183673469388,"X2"
"8","X","2",3,94,42,0.446808510638298,"X2"
"9","X","2",4,92,41,0.445652173913043,"X2"
"10","X","2",5,96,46,0.479166666666667,"X2"
"11","X","3",1,102,59,0.57843137254902,"X3"
"12","X","3",2,104,61,0.586538461538462,"X3"
"13","X","3",3,106,66,0.622641509433962,"X3"
"14","X","3",4,108,61,0.564814814814815,"X3"
"15","X","3",5,105,60,0.571428571428571,"X3"
"16","Y","1",1,83,19,0.228915662650602,"Y1"
"17","Y","1",2,80,13,0.1625,"Y1"
"18","Y","1",3,85,15,0.176470588235294,"Y1"
"19","Y","1",4,88,27,0.306818181818182,"Y1"
"20","Y","1",5,86,21,0.244186046511628,"Y1"
"21","Y","2",1,99,38,0.383838383838384,"Y2"
"22","Y","2",2,100,42,0.42,"Y2"
"23","Y","2",3,94,33,0.351063829787234,"Y2"
"24","Y","2",4,96,30,0.3125,"Y2"
"25","Y","2",5,98,35,0.357142857142857,"Y2"
"26","Y","3",1,104,58,0.557692307692308,"Y3"
"27","Y","3",2,108,70,0.648148148148148,"Y3"
"28","Y","3",3,106,66,0.622641509433962,"Y3"
"29","Y","3",4,104,60,0.576923076923077,"Y3"
"30","Y","3",5,110,59,0.536363636363636,"Y3"
"31","Z","1",1,102,30,0.294117647058824,"Z1"
"32","Z","1",2,105,64,0.60952380952381,"Z1"
"33","Z","1",3,98,18,0.183673469387755,"Z1"
"34","Z","1",4,100,34,0.34,"Z1"
"35","Z","1",5,103,55,0.533980582524272,"Z1"
"36","Z","2",1,105,61,0.580952380952381,"Z2"
"37","Z","2",2,100,39,0.39,"Z2"
"38","Z","2",3,102,43,0.42156862745098,"Z2"
"39","Z","2",4,106,54,0.509433962264151,"Z2"
"40","Z","2",5,98,22,0.224489795918367,"Z2"
"41","Z","3",1,103,37,0.359223300970874,"Z3"
"42","Z","3",2,104,29,0.278846153846154,"Z3"
"43","Z","3",3,108,60,0.555555555555556,"Z3"
"44","Z","3",4,104,54,0.519230769230769,"Z3"
"45","Z","3",5,105,49,0.466666666666667,"Z3"
"46","wt","1",1,140,76,0.542857142857143,"wt1"
"47","wt","1",2,135,65,0.481481481481481,"wt1"
"48","wt","1",3,142,75,0.528169014084507,"wt1"
"49","wt","1",4,138,65,0.471014492753623,"wt1"
"50","wt","1",5,136,68,0.5,"wt1"
"51","wt","2",1,143,89,0.622377622377622,"wt2"
"52","wt","2",2,150,101,0.673333333333333,"wt2"
"53","wt","2",3,148,101,0.682432432432432,"wt2"
"54","wt","2",4,151,97,0.642384105960265,"wt2"
"55","wt","2",5,146,95,0.650684931506849,"wt2"
"56","wt","3",1,158,123,0.778481012658228,"wt3"
"57","wt","3",2,156,115,0.737179487179487,"wt3"
"58","wt","3",3,160,125,0.78125,"wt3"
"59","wt","3",4,162,131,0.808641975308642,"wt3"
"60","wt","3",5,165,139,0.842424242424242,"wt3"
