sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120010234800	62200204	3	1	0	C61LW4846	C63LW9389	62	200204
985120011536089	62200203	11	1	0	C60LX1975	C63LW1044	62	200203
985120011536089	62200208	6	2	0	C60LX1975	C63LW1044	62	200208
985120011537054	62200203	8	1	1	C63LW10719	C60LW9284	62	200203
985120011537054	62200208	11	2	3	C63LW10719	C60LW9284	62	200208
985120011537120	62200204	12	1	0	C60LX3542	C60LW10856	62	200204
985120011537120	62200208	7	2	0	C60LX3542	C60LW10856	62	200208
985120011538630	62200203	10	1	0	C61LX1156	C63LW10166	62	200203
985120011539124	62200203	12	1	0	C60LW10451	C60LW11056	62	200203
985120011540903	62200312	11	1	2	C60LY12297	985120012076420	62	200312
985120011540903	62200405	11	2	1	C60LY12297	985120012076420	62	200405
985120011540903	62200410	12	3	0	C60LY12297	985120012076420	62	200410
985120011540903	62200503	2	4	1	C60LY12297	985120012076420	62	200503
985120011541351	62200312	8	1	0	C63LY12187	985120012067158	62	200312
985120011541351	62200405	5	2	0	C63LY12187	985120012067158	62	200405
985120011543460	62200203	11	1	0	C60LW11174	C60LW122	62	200203
985120011543460	62200208	14	2	0	C60LW11174	C60LW122	62	200208
985120011545841	62200311	10	1	0	C60LY9182	C60LY2548	62	200311
985120011545841	62200405	10	2	0	C60LY9182	C60LY2548	62	200405
985120011545841	62200410	13	3	2	C60LY9182	C60LY2548	62	200410
985120011545841	62200502	17	4	0	C60LY9182	C60LY2548	62	200502
985120011545841	62200507	10	5	1	C60LY9182	C60LY2548	62	200507
985120011545841	62200511	11	6	0	C60LY9182	C60LY2548	62	200511
985120011547640	62200203	12	1	1	C63LX1597	C60LW10454	62	200203
985120011547640	62200208	12	2	0	C63LX1597	C60LW10454	62	200208
985120011548058	62200203	12	1	0	C61LW4846	C63LW9389	62	200203
985120011548058	62200208	10	2	0	C61LW4846	C63LW9389	62	200208
985120011549762	62200203	10	1	1	C60LW11174	C60LW10779	62	200203
985120011549762	62200208	12	2	1	C60LW11174	C60LW10779	62	200208
985120011549907	62200204	10	1	0	C63LX1597	C63LW6041	62	200204
985120011550216	62200311	13	1	0	C60LY12297	985120012076420	62	200311
985120011550216	62200404	12	2	1	C60LY12297	985120012076420	62	200404
985120011550216	62200409	11	3	6	C60LY12297	985120012076420	62	200409
985120011552991	62200203	3	1	0	C60LX615	C60LU11735	62	200203
985120011552991	62200208	13	2	1	C60LX615	C60LU11735	62	200208
985120011554107	62200203	9	1	1	C60LW9185	C63LW5250	62	200203
985120011554107	62200208	13	2	3	C60LW9185	C63LW5250	62	200208
985120011555133	62200203	15	1	0	C60LW11174	C60LW122	62	200203
985120011555133	62200208	14	2	0	C60LW11174	C60LW122	62	200208
985120011555711	62200401	11	1	0	C60LY12297	985120012076420	62	200401
985120011555711	62200409	9	2	3	C60LY12297	985120012076420	62	200409
985120011555711	62200501	4	3	0	C60LY12297	985120012076420	62	200501
985120011556061	62200203	12	1	0	C60LW9185	C63LW5250	62	200203
985120011558238	62200203	8	1	0	C60LW7118	C60LW1832	62	200203
985120011558238	62200208	11	2	0	C60LW7118	C60LW1832	62	200208
985120011560153	62200203	12	1	2	C61LX1156	C63LW6639	62	200203
985120011560226	62200203	13	1	1	C61LX1156	C60LW5466	62	200203
985120011560226	62200208	12	2	2	C61LX1156	C60LW5466	62	200208
985120011575183	62200203	11	1	0	C63LW10719	C60LW9284	62	200203
985120011575183	62200208	10	2	0	C63LW10719	C60LW9284	62	200208
985120011579412	62200311	11	1	0	C63LY12300	985120012078146	62	200311
985120011580429	62200203	13	1	3	C60LX3542	C60LW10856	62	200203
985120011580429	62200208	14	2	1	C60LX3542	C60LW10856	62	200208
985120011582757	62200203	16	1	0	C60LX1975	C63LW1044	62	200203
985120011599048	62200203	5	1	0	C60LX1975	C60LW6347	62	200203
985120011599048	62200208	4	2	0	C60LX1975	C60LW6347	62	200208
985120011673002	62200204	8	1	0	C63LW10719	C60LW9284	62	200204
985120011673002	62200208	13	2	0	C63LW10719	C60LW9284	62	200208
985120011675120	62200203	7	1	0	C63LW6392	C63LW11704	62	200203
985120011676546	62200204	12	1	0	C60LX1975	C63LW1044	62	200204
985120011676546	62200208	12	2	2	C60LX1975	C63LW1044	62	200208
985120011676829	62200203	12	1	0	C60LW11174	C60LW10779	62	200203
985120011676829	62200208	14	2	0	C60LW11174	C60LW10779	62	200208
985120011677926	62200203	10	1	1	C61LX1156	C63LW6639	62	200203
985120011680982	62200311	9	1	3	C60LY12297	985120012076420	62	200311
985120011681308	62200312	5	1	0	C63LY12187	985120012461128	62	200312
985120011681308	62200405	8	2	1	C63LY12187	985120012461128	62	200405
985120012065928	62200203	3	1	0	C63LX1597	C60LW10454	62	200203
985120012065928	62200208	13	2	0	C63LX1597	C60LW10454	62	200208
985120012065928	62200301	14	3	2	C63LX1597	C60LW10454	62	200301
985120012065928	62200305	11	4	2	C63LX1597	C60LW10454	62	200305
985120012065928	62200310	11	5	3	C63LX1597	C60LW10454	62	200310
985120012067158	62200203	12	1	3	C60LX615	C60LU11735	62	200203
985120012067158	62200208	12	2	2	C60LX615	C60LU11735	62	200208
985120012067158	62200301	12	3	3	C60LX615	C60LU11735	62	200301
985120012067158	62200305	10	4	1	C60LX615	C60LU11735	62	200305
985120012067158	62200310	10	5	6	C60LX615	C60LU11735	62	200310
985120012069813	62200408	5	1	0	C40LY52753	985120012178849	62	200408
985120012070026	62200203	12	1	0	C60LW11882	C60LW5668	62	200203
985120012070026	62200208	12	2	0	C60LW11882	C60LW5668	62	200208
985120012070334	62200204	12	1	1	C60LW11082	C63LW10491	62	200204
985120012070334	62200208	14	2	0	C60LW11082	C63LW10491	62	200208
985120012075185	62200203	7	1	0	C60LW7856	C60LU11698	62	200203
985120012075185	62200208	13	2	1	C60LW7856	C60LU11698	62	200208
985120012075185	62200301	6	3	0	C60LW7856	C60LU11698	62	200301
985120012075185	62200305	8	4	0	C60LW7856	C60LU11698	62	200305
985120012076420	62200203	13	1	0	C60LX1975	C63LW1044	62	200203
985120012076420	62200208	14	2	0	C60LX1975	C63LW1044	62	200208
985120012076420	62200301	15	3	0	C60LX1975	C63LW1044	62	200301
985120012076420	62200305	14	4	2	C60LX1975	C63LW1044	62	200305
985120012076420	62200310	18	5	0	C60LX1975	C63LW1044	62	200310
985120012077716	62200203	9	1	4	C60LW7856	C60LU11698	62	200203
985120012077716	62200208	10	2	1	C60LW7856	C60LU11698	62	200208
985120012078146	62200203	7	1	0	C60LW11174	C60LW10779	62	200203
985120012078146	62200208	15	2	0	C60LW11174	C60LW10779	62	200208
985120012078146	62200301	13	3	0	C60LW11174	C60LW10779	62	200301
985120012078146	62200306	13	4	0	C60LW11174	C60LW10779	62	200306
985120012078146	62200310	5	5	0	C60LW11174	C60LW10779	62	200310
985120012120944	62200311	9	1	1	C40LY40688	985120012075185	62	200311
985120012120944	62200403	10	2	0	C40LY40688	985120012075185	62	200403
985120012120944	62200409	9	3	4	C40LY40688	985120012075185	62	200409
985120012120944	62200502	13	4	0	C40LY40688	985120012075185	62	200502
985120012120944	62200507	0	5	8	C40LY40688	985120012075185	62	200507
985120012125009	62200309	9	1	0	C60LY9191	985120012067158	62	200309
985120012125009	62200402	13	2	0	C60LY9191	985120012067158	62	200402
985120012130627	62200407	11	1	1	C40LA11101	985120012067158	62	200407
985120012131584	62200310	10	1	3	C40LY40688	985120012078146	62	200310
985120012131584	62200402	15	2	0	C40LY40688	985120012078146	62	200402
985120012131584	62200407	14	3	0	C40LY40688	985120012078146	62	200407
985120012131584	62200412	17	4	0	C40LY40688	985120012078146	62	200412
985120012131584	62200505	12	5	0	C40LY40688	985120012078146	62	200505
985120012132617	62200310	16	1	0	C40LY40688	985120012078146	62	200310
985120012141406	62200501	13	1	1	C40LA11098	985120023252599	62	200501
985120012141406	62200505	7	2	1	C40LA11098	985120023252599	62	200505
985120012141406	62200510	11	3	0	C40LA11098	985120023252599	62	200510
985120012144345	62200404	14	1	0	C63LY12313	985120012454239	62	200404
985120012144345	62200410	3	2	9	C63LY12313	985120012454239	62	200410
985120012176636	62200204	10	1	3	C60LW11082	C63LW10491	62	200204
985120012178106	62200203	11	1	0	C60LW7118	C60LW1832	62	200203
985120012181748	62200203	12	1	1	C60LW11174	C60LW10776	62	200203
985120012181748	62200208	9	2	2	C60LW11174	C60LW10776	62	200208
985120012182661	62200203	12	1	0	C60LX1975	C63LW1044	62	200203
985120012182661	62200208	6	2	0	C60LX1975	C63LW1044	62	200208
985120012184017	62200204	10	1	2	C60LX1975	C63LW1044	62	200204
985120012184017	62200208	11	2	2	C60LX1975	C63LW1044	62	200208
985120012184887	62200203	11	1	0	C60LW11174	C60LW122	62	200203
985120012184887	62200208	15	2	0	C60LW11174	C60LW122	62	200208
985120012186682	62200203	13	1	0	C63LW11849	C63LW10945	62	200203
985120012188061	62200203	8	1	0	C63LX1597	C63LW4378	62	200203
985120012421578	62200310	8	1	4	C60LY9190	C63LY2286	62	200310
985120012421578	62200402	9	2	2	C60LY9190	C63LY2286	62	200402
985120012421578	62200407	15	3	2	C60LY9190	C63LY2286	62	200407
985120012421578	62200412	10	4	0	C60LY9190	C63LY2286	62	200412
985120012451869	62200203	9	1	1	C63LX1597	C60LW379	62	200203
985120012451869	62200208	9	2	2	C63LX1597	C60LW379	62	200208
