date,opponent,made,attempts
11/8/13,davidson,0,0
11/12/13,kansas,0,0
11/15/13,florida atlantic,5,8
11/18/13,unc asheville,3,6
11/19/13,east carolina,0,1
11/24/13,vermont,3,9
11/27/13,alabama,0,2
11/29/13,arizona,1,1
12/3/13,michigan,2,2
12/16/13,gardner-webb,4,8
12/19/13,ucla,1,5
12/28/13,eastern michigan,6,10
12/31/13,elon,5,7
1/4/14,notre dame,1,4
1/7/14,georgia tech,1,5
1/11/14,clemson,0,4
1/13/14,virginia,1,1
1/18/14,nc state,3,7
1/22/14,miami,2,6
1/25/14,florida state,3,6
1/27/14,pitt,6,7
2/1/14,syracuse,4,9
2/4/14,wake forest,4,7
2/8/14,boston college,0,1
