site,year,irrigated,N.rate,mean.yield
1,1995,yes,0,29.5
1,1995,yes,50,38
1,1995,yes,100,40
1,1995,yes,150,41.5
1,1995,yes,200,41
1,1995,yes,250,41.5
1,1995,no,0,24
1,1995,no,50,26
1,1995,no,100,24
1,1995,no,150,26
1,1995,no,200,28
1,1995,no,250,22
2,1995,yes,0,39
2,1995,yes,50,47
2,1995,yes,100,49
2,1995,yes,150,46
2,1995,yes,200,48
2,1995,yes,250,45
2,1995,no,0,28
2,1995,no,50,28.5
2,1995,no,100,30
2,1995,no,150,29
2,1995,no,200,29.5
2,1995,no,250,28
3,1995,yes,0,22
3,1995,yes,50,30
3,1995,yes,100,32
3,1995,yes,150,31
3,1995,yes,200,33
3,1995,yes,250,32.5
3,1995,no,0,22
3,1995,no,50,26
3,1995,no,100,24
3,1995,no,150,25
3,1995,no,200,26
3,1995,no,250,23
4,1995,yes,0,31
4,1995,yes,50,29.5
4,1995,yes,100,30.5
4,1995,yes,150,31
4,1995,yes,200,31
4,1995,yes,250,30.5
4,1995,no,0,24
4,1995,no,50,25
4,1995,no,100,27
4,1995,no,150,25
4,1995,no,200,25
4,1995,no,250,25.5
