year,month,value,covid
2018,April,5.31018795,no
2018,August,6.787373498,no
2018,December,5.409580666,no
2018,February,5.089873933,no
2018,January,4.728909123,no
2018,July,5.961327751,no
2018,June,6.00283543,no
2018,March,5.914415206,no
2018,May,6.001352791,no
2018,November,5.247894235,no
2018,October,5.846408876,no
2018,September,5.975041901,no
2019,April,6.262057964,no
2019,August,6.251164757,no
2019,December,6.858666195,no
2019,February,5.480068427,no
2019,January,4.948556965,no
2019,July,6.15751448,no
2019,June,5.869215623,no
2019,March,5.852545723,no
2019,May,6.24739876,no
2019,November,5.808942729,no
2019,October,6.8161636,no
2019,September,5.990017598,no
2020,April,3.979375241,yes
2020,August,5.42187113,yes
2020,December,5.897358704,yes
2020,February,5.525016119,no
2020,January,5.862024842,no
2020,July,5.039095678,yes
2020,June,3.624955558,yes
2020,March,5.816058155,yes
2020,May,3.582153303,yes
2020,November,4.929159644,yes
2020,October,5.517763983,yes
2020,September,5.187020231,yes
2021,February,5.241129005,yes
2021,January,5.31027685,yes
